"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"seguibl.afm.gz","C:\Windows\Fonts\seguibl.ttf","Segoe UI Black","Segoe UI Black","SegoeUIBlack",FALSE,FALSE,FALSE,NA
NA,"seguibli.afm.gz","C:\Windows\Fonts\seguibli.ttf","Segoe UI Black Italic","Segoe UI Black","SegoeUIBlack-Italic",FALSE,TRUE,FALSE,NA
NA,"seguiemj.afm.gz","C:\Windows\Fonts\seguiemj.ttf","Segoe UI Emoji","Segoe UI Emoji","SegoeUIEmoji",FALSE,FALSE,FALSE,NA
NA,"seguihis.afm.gz","C:\Windows\Fonts\seguihis.ttf","Segoe UI Historic","Segoe UI Historic","SegoeUIHistoric",FALSE,FALSE,FALSE,NA
NA,"seguisym.afm.gz","C:\Windows\Fonts\seguisym.ttf","Segoe UI Symbol","Segoe UI Symbol","SegoeUISymbol",FALSE,FALSE,TRUE,NA
NA,"SHOWG.afm.gz","C:\Windows\Fonts\SHOWG.TTF","Showcard Gothic","Showcard Gothic","ShowcardGothic-Reg",FALSE,FALSE,FALSE,NA
NA,"simsunb.afm.gz","C:\Windows\Fonts\simsunb.ttf","SimSun-ExtB","SimSun-ExtB","SimSun-ExtB",FALSE,FALSE,FALSE,NA
NA,"SNAP____.afm.gz","C:\Windows\Fonts\SNAP____.TTF","Snap ITC","Snap ITC","SnapITC-Regular",FALSE,FALSE,FALSE,NA
NA,"STENCIL.afm.gz","C:\Windows\Fonts\STENCIL.TTF","Stencil","Stencil","Stencil",FALSE,FALSE,FALSE,NA
NA,"sylfaen.afm.gz","C:\Windows\Fonts\sylfaen.ttf","Sylfaen","Sylfaen","Sylfaen",FALSE,FALSE,FALSE,NA
NA,"symbol.afm.gz","C:\Windows\Fonts\symbol.ttf","Symbol","Symbol","SymbolMT",FALSE,FALSE,TRUE,NA
NA,"tahoma.afm.gz","C:\Windows\Fonts\tahoma.ttf","Tahoma","Tahoma","Tahoma",FALSE,FALSE,FALSE,NA
NA,"tahomabd.afm.gz","C:\Windows\Fonts\tahomabd.ttf","Tahoma Bold","Tahoma","Tahoma-Bold",TRUE,FALSE,FALSE,NA
NA,"TEMPSITC.afm.gz","C:\Windows\Fonts\TEMPSITC.TTF","Tempus Sans ITC","Tempus Sans ITC","TempusSansITC",FALSE,FALSE,FALSE,NA
NA,"timesbi.afm.gz","C:\Windows\Fonts\timesbi.ttf","Times New Roman Bold Italic","Times New Roman","TimesNewRomanPS-BoldItalicMT",TRUE,TRUE,FALSE,NA
NA,"timesbd.afm.gz","C:\Windows\Fonts\timesbd.ttf","Times New Roman Bold","Times New Roman","TimesNewRomanPS-BoldMT",TRUE,FALSE,FALSE,NA
NA,"timesi.afm.gz","C:\Windows\Fonts\timesi.ttf","Times New Roman Italic","Times New Roman","TimesNewRomanPS-ItalicMT",FALSE,TRUE,FALSE,NA
NA,"times.afm.gz","C:\Windows\Fonts\times.ttf","Times New Roman","Times New Roman","TimesNewRomanPSMT",FALSE,FALSE,FALSE,NA
NA,"trebucbi.afm.gz","C:\Windows\Fonts\trebucbi.ttf","Trebuchet MS Bold Italic","Trebuchet MS","Trebuchet-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"trebuc.afm.gz","C:\Windows\Fonts\trebuc.ttf","Trebuchet MS","Trebuchet MS","TrebuchetMS",FALSE,FALSE,FALSE,NA
NA,"trebucbd.afm.gz","C:\Windows\Fonts\trebucbd.ttf","Trebuchet MS Bold","Trebuchet MS","TrebuchetMS-Bold",TRUE,FALSE,FALSE,NA
NA,"trebucit.afm.gz","C:\Windows\Fonts\trebucit.ttf","Trebuchet MS Italic","Trebuchet MS","TrebuchetMS-Italic",FALSE,TRUE,FALSE,NA
NA,"TCB_____.afm.gz","C:\Windows\Fonts\TCB_____.TTF","Tw Cen MT Bold","Tw Cen MT","TwCenMT-Bold",TRUE,FALSE,FALSE,NA
NA,"TCBI____.afm.gz","C:\Windows\Fonts\TCBI____.TTF","Tw Cen MT Bold Italic","Tw Cen MT","TwCenMT-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"TCCM____.afm.gz","C:\Windows\Fonts\TCCM____.TTF","Tw Cen MT Condensed","Tw Cen MT Condensed","TwCenMT-Condensed",FALSE,FALSE,FALSE,NA
NA,"TCCB____.afm.gz","C:\Windows\Fonts\TCCB____.TTF","Tw Cen MT Condensed Bold","Tw Cen MT Condensed","TwCenMT-CondensedBold",TRUE,FALSE,FALSE,NA
NA,"TCCEB.afm.gz","C:\Windows\Fonts\TCCEB.TTF","Tw Cen MT Condensed Extra Bold","Tw Cen MT Condensed Extra Bold","TwCenMT-CondensedExtraBold",FALSE,FALSE,FALSE,NA
NA,"TCMI____.afm.gz","C:\Windows\Fonts\TCMI____.TTF","Tw Cen MT Italic","Tw Cen MT","TwCenMT-Italic",FALSE,TRUE,FALSE,NA
NA,"TCM_____.afm.gz","C:\Windows\Fonts\TCM_____.TTF","Tw Cen MT","Tw Cen MT","TwCenMT-Regular",FALSE,FALSE,FALSE,NA
NA,"verdana.afm.gz","C:\Windows\Fonts\verdana.ttf","Verdana","Verdana","Verdana",FALSE,FALSE,FALSE,NA
NA,"verdanab.afm.gz","C:\Windows\Fonts\verdanab.ttf","Verdana Bold","Verdana","Verdana-Bold",TRUE,FALSE,FALSE,NA
NA,"verdanaz.afm.gz","C:\Windows\Fonts\verdanaz.ttf","Verdana Bold Italic","Verdana","Verdana-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"verdanai.afm.gz","C:\Windows\Fonts\verdanai.ttf","Verdana Italic","Verdana","Verdana-Italic",FALSE,TRUE,FALSE,NA
NA,"VINERITC.afm.gz","C:\Windows\Fonts\VINERITC.TTF","Viner Hand ITC","Viner Hand ITC","VinerHandITC",FALSE,FALSE,FALSE,NA
NA,"VIVALDII.afm.gz","C:\Windows\Fonts\VIVALDII.TTF","Vivaldi Italic","Vivaldi","Vivaldii",FALSE,TRUE,FALSE,NA
NA,"VLADIMIR.afm.gz","C:\Windows\Fonts\VLADIMIR.TTF","Vladimir Script","Vladimir Script","VladimirScript",FALSE,FALSE,FALSE,NA
NA,"webdings.afm.gz","C:\Windows\Fonts\webdings.ttf","Webdings","Webdings","Webdings",FALSE,FALSE,FALSE,NA
NA,"wingding.afm.gz","C:\Windows\Fonts\wingding.ttf","Wingdings","Wingdings","Wingdings-Regular",FALSE,FALSE,FALSE,NA
NA,"WINGDNG2.afm.gz","C:\Windows\Fonts\WINGDNG2.TTF","Wingdings 2","Wingdings 2","Wingdings2",FALSE,FALSE,FALSE,NA
NA,"WINGDNG3.afm.gz","C:\Windows\Fonts\WINGDNG3.TTF","Wingdings 3","Wingdings 3","Wingdings3",FALSE,FALSE,FALSE,NA
