"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","age_range","educ","political_spectrum","relig","incom"
2018-11-28,292,2018,NA,NA,3,3,NA,NA,2,NA,7,4,3,1,1
2018-11-28,292,2018,NA,NA,3,3,NA,NA,2,NA,7,6,2,1,4
2018-11-28,292,2018,NA,NA,2,4,NA,NA,1,NA,5,4,3,1,2
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,6,3,2,1,5
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,5,6,3,1,5
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,7,6,2,1,4
2018-11-28,292,2018,NA,NA,1,1,NA,NA,2,NA,7,8,2,4,1
2018-11-28,292,2018,NA,NA,1,4,NA,NA,1,NA,7,4,2,1,3
2018-11-28,292,2018,NA,NA,4,3,NA,NA,1,NA,7,1,2,1,6
2018-11-28,292,2018,NA,NA,2,4,NA,NA,1,NA,7,4,29,1,4
2018-11-28,292,2018,NA,NA,3,3,NA,NA,1,NA,7,6,2,1,2
2018-11-28,292,2018,NA,NA,3,3,NA,NA,1,NA,7,6,2,1,4
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,7,2,2,2,1
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,7,6,2,2,1
2018-11-28,292,2018,NA,NA,2,4,NA,NA,1,NA,7,3,2,2,3
2018-11-28,292,2018,NA,NA,3,4,NA,NA,1,NA,7,4,8,2,3
2018-11-28,292,2018,NA,NA,3,4,NA,NA,1,NA,7,1,2,1,3
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,7,5,2,1,4
2018-11-28,292,2018,NA,NA,3,4,NA,NA,1,NA,3,2,2,1,1
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,5,2,2,1,3
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,4,2,2,2,4
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,2,4,2,4,2
2018-11-28,292,2018,NA,NA,3,4,NA,NA,1,NA,6,5,2,1,6
2018-11-28,292,2018,NA,NA,2,4,NA,NA,1,NA,7,4,1,3,4
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,4,6,2,1,4
2018-11-28,292,2018,NA,NA,3,3,NA,NA,1,NA,2,2,2,2,1
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,6,2,2,2,2
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,4,2,2,1,5
2018-11-28,292,2018,NA,NA,1,4,NA,NA,1,NA,6,3,2,2,3
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,3,5,2,2,4
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,6,6,8,1,5
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,4,2,2,2,2
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,6,2,2,3,2
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,3,3,2,3,2
2018-11-28,292,2018,NA,NA,4,3,NA,NA,1,NA,4,3,2,3,2
2018-11-28,292,2018,NA,NA,1,3,NA,NA,1,NA,3,3,2,3,2
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,3,3,2,3,3
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,5,4,2,5,5
2018-11-28,292,2018,NA,NA,3,4,NA,NA,1,NA,4,6,2,5,3
2018-11-28,292,2018,NA,NA,1,1,NA,NA,1,NA,7,2,1,1,4
2018-11-28,292,2018,NA,NA,1,4,NA,NA,1,NA,7,8,1,1,5
2018-11-28,292,2018,NA,NA,1,2,NA,NA,1,NA,5,5,1,1,4
2018-11-28,292,2018,NA,NA,2,2,NA,NA,2,NA,7,6,27,1,2
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,5,2,2,2,1
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,7,3,1,1,6
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,2,9,29,1,6
2018-11-28,292,2018,NA,NA,5,4,NA,NA,2,NA,3,5,29,4,6
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,6,3,29,3,6
2018-11-28,292,2018,NA,NA,5,5,NA,NA,2,NA,3,9,29,3,6
2018-11-28,292,2018,NA,NA,1,2,NA,NA,2,NA,7,5,6,2,4
2018-11-28,292,2018,NA,NA,1,3,NA,NA,1,NA,5,3,9,1,3
2018-11-28,292,2018,NA,NA,5,3,NA,NA,2,NA,6,6,29,1,5
2018-11-28,292,2018,NA,NA,3,3,NA,NA,2,NA,6,6,3,2,2
2018-11-28,292,2018,NA,NA,2,4,NA,NA,2,NA,6,5,8,1,3
2018-11-28,292,2018,NA,NA,5,5,NA,NA,2,NA,6,5,3,1,4
2018-11-28,292,2018,NA,NA,1,2,NA,NA,1,NA,3,2,27,1,2
2018-11-28,292,2018,NA,NA,1,2,NA,NA,1,NA,4,5,2,1,3
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,7,5,1,1,3
2018-11-28,292,2018,NA,NA,3,3,NA,NA,2,NA,7,1,2,2,1
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,7,6,12,1,2
2018-11-28,292,2018,NA,NA,3,3,NA,NA,1,NA,3,4,2,1,4
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,4,5,2,1,3
2018-11-28,292,2018,NA,NA,5,4,NA,NA,2,NA,5,2,8,2,1
2018-11-28,292,2018,NA,NA,2,2,NA,NA,1,NA,6,3,29,1,4
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,3,3,8,4,4
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,2,3,10,5,1
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,5,2,10,5,3
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,7,6,9,2,4
2018-11-28,292,2018,NA,NA,3,4,NA,NA,1,NA,3,5,2,2,2
2018-11-28,292,2018,NA,NA,2,2,NA,NA,1,NA,5,4,29,1,4
2018-11-28,292,2018,NA,NA,4,4,NA,NA,1,NA,3,2,2,1,3
2018-11-28,292,2018,NA,NA,2,2,NA,NA,1,NA,4,5,8,1,4
2018-11-28,292,2018,NA,NA,3,4,NA,NA,1,NA,2,3,5,3,6
2018-11-28,292,2018,NA,NA,4,4,NA,NA,2,NA,5,4,29,1,3
2018-11-28,292,2018,NA,NA,2,4,NA,NA,1,NA,3,5,9,1,2
2018-11-28,292,2018,NA,NA,2,3,NA,NA,1,NA,7,4,8,2,4
2018-11-28,292,2018,NA,NA,2,3,NA,NA,2,NA,7,2,8,2,3
