date,max_temperature,min_temperature
13/02/2013,-,6.6
14/02/2013,-,-
15/02/2013,19.3,11.7
16/02/2013,18.5,9.5
17/02/2013,19.4,11.1
18/02/2013,19.2,7.5
19/02/2013,19.1,12
20/02/2013,20,8.5
21/02/2013,22.9,7.1
22/02/2013,25.9,9.3
23/02/2013,20,13.7
24/02/2013,21,13.1
25/02/2013,27.4,10.1
26/02/2013,28.3,10.5
27/02/2013,22.4,13.4
28/02/2013,20.6,13.8
01/03/2013,19.9,11.5
02/03/2013,22.5,7.8
03/03/2013,30.1,13
04/03/2013,21,13.8
05/03/2013,20,15.5
06/03/2013,18.1,9.7
07/03/2013,22.6,5.3
08/03/2013,28.2,16.2
09/03/2013,22,13.2
10/03/2013,21.6,9.8
11/03/2013,27.8,9.8
12/03/2013,34.2,15.1
13/03/2013,29,16.8
14/03/2013,30,14.9
15/03/2013,36.2,16.1
16/03/2013,26.2,17.7
17/03/2013,19.7,15.3
18/03/2013,19.9,15.6
19/03/2013,22.2,10
20/03/2013,23.4,9.5
21/03/2013,25.8,9.2
22/03/2013,33.6,13.3
23/03/2013,20.2,15.2
24/03/2013,20.7,15.1
25/03/2013,24.2,8.2
26/03/2013,33.9,10
27/03/2013,21.8,16.4
28/03/2013,23.8,12.6
29/03/2013,24.6,11.2
30/03/2013,26.1,9.3
31/03/2013,32.6,14.4
01/04/2013,30.1,16.4
02/04/2013,23.8,14.7
03/04/2013,26.6,10.8
04/04/2013,22.4,16
05/04/2013,21.6,16.7
06/04/2013,22.9,13
07/04/2013,34.8,12.3
08/04/2013,24.9,16.3
09/04/2013,22.2,14.7
10/04/2013,22.4,15.2
11/04/2013,22.3,13.4
12/04/2013,22.1,11
13/04/2013,22.2,13.3
14/04/2013,-,13.2
15/04/2013,24.5,12.4
16/04/2013,21.8,15.2
17/04/2013,19.5,14.4
18/04/2013,21.1,14.4
19/04/2013,21.2,13.6
20/04/2013,18.6,11.3
21/04/2013,19.8,14.4
22/04/2013,20.9,14
23/04/2013,21.9,11.6
24/04/2013,26.3,11.5
25/04/2013,30.9,13.1
26/04/2013,33.1,12.2
27/04/2013,36,16.5
28/04/2013,36.4,23.1
29/04/2013,35.7,16.7
30/04/2013,34.2,16.5
01/05/2013,29.6,17.5
02/05/2013,-,18.6
03/05/2013,26.7,16.5
04/05/2013,29.2,15.7
05/05/2013,28.6,15.5
06/05/2013,26.4,17
07/05/2013,26.8,18.5
08/05/2013,28.2,18.3
09/05/2013,26.9,19.8
10/05/2013,26.9,18.2
11/05/2013,26.8,19.1
12/05/2013,25.6,16.5
13/05/2013,29.8,16.9
14/05/2013,25.6,17.7
15/05/2013,24.5,16.6
16/05/2013,25.5,16.9
17/05/2013,27.4,16.8
18/05/2013,30.4,17.5
19/05/2013,30.8,17.8
20/05/2013,27.4,17.8
21/05/2013,28.6,19.2
22/05/2013,30.4,17.3
23/05/2013,30.2,16.9
24/05/2013,32.1,19.1
25/05/2013,28,21.6
26/05/2013,26.7,19.7
27/05/2013,28.1,18.1
28/05/2013,29.5,19.6
29/05/2013,33.2,15.3
30/05/2013,38.9,20
31/05/2013,29.9,20.3
01/06/2013,31.3,18.7
02/06/2013,35,17.4
03/06/2013,31.7,22.6
04/06/2013,28,19.7
05/06/2013,27.7,18.9
06/06/2013,29.3,18
07/06/2013,29.6,17.4
08/06/2013,38.5,19
09/06/2013,31.8,24.2
10/06/2013,28.8,21.1
11/06/2013,29,20.7
12/06/2013,34.5,18.7
13/06/2013,29,21.4
14/06/2013,28.7,21
15/06/2013,28.5,20.2
16/06/2013,28.1,20.1
17/06/2013,28.6,20.7
18/06/2013,29.6,21.4
19/06/2013,31.5,22
20/06/2013,32.9,22
21/06/2013,32.8,20.8
22/06/2013,32.2,19.5
23/06/2013,31,22.1
24/06/2013,31.3,22.1
25/06/2013,31.8,22.1
26/06/2013,31.7,22.9
27/06/2013,30.3,21.9
28/06/2013,30.5,21.9
29/06/2013,30.9,23.8
30/06/2013,30.6,25
01/07/2013,29.8,22.9
02/07/2013,30,21.4
03/07/2013,30.6,22
04/07/2013,31.4,22.3
05/07/2013,31.1,21.1
06/07/2013,30.2,21.6
07/07/2013,30,22.4
08/07/2013,30.4,22.8
09/07/2013,30,23.5
10/07/2013,30.8,23.3
11/07/2013,31.2,23.7
12/07/2013,31.3,23
13/07/2013,31,23.8
14/07/2013,31.3,24.6
15/07/2013,31.6,22.9
16/07/2013,31.3,23.2
17/07/2013,31.3,23.1
18/07/2013,30.8,23.1
19/07/2013,31.1,23.5
20/07/2013,31.6,23.5
21/07/2013,31.1,23.6
22/07/2013,30.5,23.2
23/07/2013,31.8,21.6
24/07/2013,32,23
25/07/2013,31.6,23.5
26/07/2013,31.8,24.1
27/07/2013,31.7,24.4
28/07/2013,33.1,21.8
29/07/2013,32.8,23.4
30/07/2013,32,23.4
31/07/2013,32.1,22.8
01/08/2013,32.2,20.6
02/08/2013,32.7,22.9
03/08/2013,32.3,24.2
04/08/2013,32,24.1
05/08/2013,32.2,23.9
06/08/2013,32.7,23.9
07/08/2013,33.2,21.4
08/08/2013,32.6,23.3
09/08/2013,32.7,23.3
10/08/2013,32.2,24
11/08/2013,32.5,24.2
12/08/2013,32.7,24.1
13/08/2013,31.4,23.1
14/08/2013,31.7,23.4
15/08/2013,32.4,25.6
16/08/2013,32.6,24.9
17/08/2013,33.1,24.1
18/08/2013,33.2,24.4
19/08/2013,31.7,23
20/08/2013,32.6,22.7
21/08/2013,33.1,24
22/08/2013,32.7,23.6
23/08/2013,32.3,23.3
24/08/2013,32.1,23.4
25/08/2013,32.4,23.3
26/08/2013,32.2,23.7
27/08/2013,31.3,23.3
28/08/2013,32.6,22.7
29/08/2013,33,24
30/08/2013,32.7,21.6
31/08/2013,32.3,24.1
01/09/2013,32.5,23.7
02/09/2013,32.2,22.7
03/09/2013,32.4,24.1
04/09/2013,31.7,23.9
05/09/2013,32,24
06/09/2013,31.9,19.4
07/09/2013,31,20.2
08/09/2013,31,21.6
09/09/2013,31.2,21
10/09/2013,31.8,20.5
11/09/2013,32.5,20.8
12/09/2013,31.9,21.2
13/09/2013,32.2,21.2
14/09/2013,32.8,21
15/09/2013,32,22.2
16/09/2013,30.3,22
17/09/2013,30.3,21.9
18/09/2013,31.4,19.4
19/09/2013,33.5,22.3
20/09/2013,31.4,26.4
21/09/2013,30.3,22.7
22/09/2013,30.7,21.8
23/09/2013,30.3,21.4
24/09/2013,29.4,21.5
25/09/2013,29.1,19.3
26/09/2013,28.8,16.6
27/09/2013,28.9,20
28/09/2013,29.5,18.5
29/09/2013,29.4,18.4
30/09/2013,28.7,17.8
01/10/2013,29.2,20.7
02/10/2013,30,19.2
03/10/2013,30.5,20.2
04/10/2013,28.7,22
05/10/2013,26.5,19.9
06/10/2013,26.4,19.3
07/10/2013,25.6,14.7
08/10/2013,29.6,11.4
09/10/2013,32.7,16.5
10/10/2013,31.4,14.2
11/10/2013,28.4,15.2
12/10/2013,27.5,14.6
13/10/2013,28.3,16.2
14/10/2013,28.8,17.8
15/10/2013,27.9,15.5
16/10/2013,27.4,15.3
17/10/2013,27.9,16.5
18/10/2013,28,16.4
19/10/2013,26.5,16.5
20/10/2013,26.6,14.4
21/10/2013,31.1,15
22/10/2013,30.6,15.2
23/10/2013,27.7,14.1
24/10/2013,26.4,13.8
25/10/2013,26,12.4
26/10/2013,26.8,13.4
27/10/2013,26.3,13.5
28/10/2013,25.7,12.8
29/10/2013,32.7,10.9
30/10/2013,27.4,18.1
31/10/2013,30.4,17.2
01/11/2013,27.3,15.8
02/11/2013,26.3,14.1
03/11/2013,29.3,13.9
04/11/2013,30.8,15.2
05/11/2013,29.1,19.1
06/11/2013,27,15.7
07/11/2013,27.7,14.3
08/11/2013,27.8,17.2
09/11/2013,25.9,17.4
10/11/2013,28.2,12.9
11/11/2013,30.2,13.2
12/11/2013,29.3,17.5
13/11/2013,26.8,15
14/11/2013,25.3,13.6
15/11/2013,25.8,14.2
16/11/2013,24.7,12.9
17/11/2013,23.9,12.5
18/11/2013,22.6,13.5
19/11/2013,25,11.1
20/11/2013,24.1,10.3
21/11/2013,24.2,11.7
22/11/2013,25.4,11.7
23/11/2013,28.9,12.2
24/11/2013,23.9,16.7
25/11/2013,28.3,11.3
26/11/2013,35.6,15.4
27/11/2013,34.7,16.8
28/11/2013,25.1,20.1
29/11/2013,22,15.9
30/11/2013,25.2,13.1
01/12/2013,29.1,15.9
02/12/2013,29.4,17.3
03/12/2013,28.7,15.5
04/12/2013,24.8,18.6
05/12/2013,20.3,14.4
06/12/2013,18.5,13.9
07/12/2013,20.6,12.4
08/12/2013,17.4,14.1
09/12/2013,18.3,13
10/12/2013,15.5,7.1
11/12/2013,15.5,10.4
12/12/2013,11.1,6.4
13/12/2013,7.6,3.9
14/12/2013,8.8,3.8
15/12/2013,15.1,0.9
16/12/2013,15.8,2.5
17/12/2013,17.8,1.6
18/12/2013,18,3.8
19/12/2013,19.1,4.1
20/12/2013,20.3,4.6
21/12/2013,19.7,4.4
22/12/2013,19.4,4.4
23/12/2013,22.1,3.6
24/12/2013,20.5,3.4
25/12/2013,21.7,6
26/12/2013,-,10.5
27/12/2013,20.6,5.5
28/12/2013,24.4,11.7
29/12/2013,18.6,11.9
30/12/2013,17.9,7.2
31/12/2013,16.7,7.8
01/01/2014,18.5,6.2
02/01/2014,18.6,6.8
03/01/2014,19.3,6.3
04/01/2014,20.7,6.6
05/01/2014,18.8,8.6
06/01/2014,18.3,5.8
07/01/2014,20.3,4.8
08/01/2014,20.9,4.2
09/01/2014,18.5,6.5
10/01/2014,16.8,10.6
11/01/2014,18.3,10.3
12/01/2014,18.9,9.4
13/01/2014,21.1,12.3
14/01/2014,19.8,10.9
15/01/2014,20.2,8.1
16/01/2014,23.5,8.3
17/01/2014,20.4,7.8
18/01/2014,19,7.3
19/01/2014,19.8,7
20/01/2014,20.6,6.4
21/01/2014,22.2,5.8
22/01/2014,20.6,6
23/01/2014,20.5,11.2
24/01/2014,20.6,9.3
25/01/2014,21.7,6.5
26/01/2014,26.4,10.2
27/01/2014,19.9,12
28/01/2014,18.4,11.8
29/01/2014,21.3,7.6
30/01/2014,20.6,5.8
31/01/2014,21.4,5.4
01/02/2014,22.6,6.8
02/02/2014,19.4,12.5
03/02/2014,19.7,9.4
04/02/2014,14.8,10.6
05/02/2014,15.6,3.2
06/02/2014,17.1,3.7
07/02/2014,17.5,3.4
08/02/2014,19.4,3.3
09/02/2014,21.6,3.3
10/02/2014,19.8,3.3
11/02/2014,19.3,5.4
12/02/2014,25.7,5.9
13/02/2014,26.6,8.8
14/02/2014,20.3,9.4
15/02/2014,19.5,11.2
16/02/2014,17.9,11.5
17/02/2014,20.5,7.8
18/02/2014,20,8
19/02/2014,21.8,6.5
20/02/2014,23.9,6.3
21/02/2014,26.1,6
22/02/2014,29.9,10.6
23/02/2014,21.6,14.4
24/02/2014,20.5,10.2
25/02/2014,20.5,12.6
26/02/2014,20.5,11.1
27/02/2014,19.9,8.9
28/02/2014,19.8,8.5
01/03/2014,25.8,6.4
02/03/2014,26.2,10.3
03/03/2014,22.9,11.8
04/03/2014,22.6,12.3
05/03/2014,27.9,8
06/03/2014,23.7,13.6
07/03/2014,30,12.8
08/03/2014,28.2,18.9
09/03/2014,20.1,16.6
10/03/2014,19.7,12.6
11/03/2014,22.3,8.7
12/03/2014,18.7,9.9
13/03/2014,17.5,10.1
14/03/2014,15.5,8.7
15/03/2014,19,8.6
16/03/2014,23.8,6.7
17/03/2014,27.5,13
18/03/2014,20.8,12.3
19/03/2014,21.1,11.9
20/03/2014,21.6,13.5
21/03/2014,21.4,11.4
22/03/2014,23.2,10.2
23/03/2014,22.9,14.3
24/03/2014,24,15.5
25/03/2014,21.4,16.2
26/03/2014,21.7,11.5
27/03/2014,23.1,9.1
28/03/2014,27.8,7.2
29/03/2014,26.4,11
30/03/2014,21.6,14.1
31/03/2014,20.5,6.5
01/04/2014,24.5,9.2
02/04/2014,21.8,12.9
03/04/2014,21.9,11.2
04/04/2014,22,11
05/04/2014,27.7,9
06/04/2014,29.8,10.2
07/04/2014,31.1,12.5
08/04/2014,27.1,12.9
09/04/2014,23.3,13.4
10/04/2014,22.4,14.2
11/04/2014,24.5,9.7
12/04/2014,22.3,14.4
13/04/2014,22.9,11.5
14/04/2014,24.6,10.2
15/04/2014,30.5,12.7
16/04/2014,27.4,16.3
17/04/2014,25.6,16.6
18/04/2014,31.8,15.3
19/04/2014,33.2,21.9
20/04/2014,30.3,20.1
21/04/2014,23.2,16.6
22/04/2014,24.7,14.9
23/04/2014,26.4,14
24/04/2014,33.2,14
25/04/2014,31,20.1
26/04/2014,24.6,18.6
27/04/2014,25,13.5
28/04/2014,28.5,12.6
29/04/2014,26.5,15.5
30/04/2014,28.2,13.9
01/05/2014,29.1,14.6
02/05/2014,24.3,15.5
03/05/2014,34.3,14.2
04/05/2014,38.5,16.8
05/05/2014,31,21.4
06/05/2014,30.8,22.7
07/05/2014,26.4,19.5
08/05/2014,22.6,18.4
09/05/2014,25.1,15.8
10/05/2014,28.4,13.8
11/05/2014,24.3,16.6
12/05/2014,24.6,15.3
13/05/2014,24.8,17.1
14/05/2014,25.4,15.4
15/05/2014,29.1,13.3
