"","date","total_killed","total_events_located_IL","total_events_located_yesha","total_events_target_civilian","total_events_target_security_forces","total_attacks","yearweek","week_range"
"108",2001-10-28,4,1,NA,1,NA,1,"2001-W43","2001-10-28 UTC--2001-11-03 UTC"
"109",2001-10-28,1,1,NA,1,NA,1,"2001-W43","2001-10-28 UTC--2001-11-03 UTC"
"110",2001-11-02,1,NA,1,NA,1,1,"2001-W43","2001-10-28 UTC--2001-11-03 UTC"
"111",2001-11-04,2,NA,1,1,NA,1,"2001-W44","2001-11-04 UTC--2001-11-10 UTC"
"112",2001-11-06,1,NA,1,NA,1,1,"2001-W44","2001-11-04 UTC--2001-11-10 UTC"
"113",2001-11-09,1,NA,1,1,NA,1,"2001-W44","2001-11-04 UTC--2001-11-10 UTC"
"114",2001-11-11,1,1,NA,1,NA,1,"2001-W45","2001-11-11 UTC--2001-11-17 UTC"
"115",2001-11-24,1,NA,1,1,NA,1,"2001-W46","2001-11-18 UTC--2001-11-24 UTC"
"116",2001-11-27,1,NA,1,1,NA,1,"2001-W47","2001-11-25 UTC--2001-12-01 UTC"
"117",2001-11-27,2,1,NA,1,NA,1,"2001-W47","2001-11-25 UTC--2001-12-01 UTC"
"118",2001-11-29,3,1,NA,NA,1,1,"2001-W47","2001-11-25 UTC--2001-12-01 UTC"
"119",2001-11-29,1,NA,1,NA,1,1,"2001-W47","2001-11-25 UTC--2001-12-01 UTC"
"120",2001-12-01,11,1,NA,1,NA,1,"2001-W47","2001-11-25 UTC--2001-12-01 UTC"
"121",2001-12-02,1,NA,1,1,NA,1,"2001-W48","2001-12-02 UTC--2001-12-08 UTC"
"122",2001-12-02,14,1,NA,1,NA,1,"2001-W48","2001-12-02 UTC--2001-12-08 UTC"
"123",2001-12-12,10,NA,1,1,NA,1,"2001-W49","2001-12-09 UTC--2001-12-15 UTC"
"124",2002-01-09,4,1,NA,1,NA,1,"2002-W01","2002-01-06 UTC--2002-01-12 UTC"
"125",2002-01-14,1,NA,1,NA,1,1,"2002-W02","2002-01-13 UTC--2002-01-19 UTC"
"126",2002-01-15,1,NA,1,1,NA,1,"2002-W02","2002-01-13 UTC--2002-01-19 UTC"
"127",2002-01-15,1,NA,1,1,NA,1,"2002-W02","2002-01-13 UTC--2002-01-19 UTC"
"128",2002-01-17,6,1,NA,1,NA,1,"2002-W02","2002-01-13 UTC--2002-01-19 UTC"
"129",2002-01-22,2,1,NA,1,NA,1,"2002-W03","2002-01-20 UTC--2002-01-26 UTC"
"130",2002-01-27,1,1,NA,1,NA,1,"2002-W04","2002-01-27 UTC--2002-02-02 UTC"
"131",2002-02-06,3,NA,1,1,NA,1,"2002-W05","2002-02-03 UTC--2002-02-09 UTC"
"132",2002-02-08,1,1,NA,1,NA,1,"2002-W05","2002-02-03 UTC--2002-02-09 UTC"
"133",2002-02-09,1,NA,1,1,NA,1,"2002-W05","2002-02-03 UTC--2002-02-09 UTC"
"134",2002-02-10,2,1,NA,1,NA,1,"2002-W06","2002-02-10 UTC--2002-02-16 UTC"
"135",2002-02-14,3,NA,1,NA,1,1,"2002-W06","2002-02-10 UTC--2002-02-16 UTC"
"136",2002-02-16,3,NA,1,1,NA,1,"2002-W06","2002-02-10 UTC--2002-02-16 UTC"
"137",2002-02-18,1,NA,1,1,NA,1,"2002-W07","2002-02-17 UTC--2002-02-23 UTC"
"138",2002-02-18,3,NA,1,NA,1,1,"2002-W07","2002-02-17 UTC--2002-02-23 UTC"
"139",2002-02-19,6,NA,1,NA,1,1,"2002-W07","2002-02-17 UTC--2002-02-23 UTC"
"140",2002-02-22,1,NA,1,1,NA,1,"2002-W07","2002-02-17 UTC--2002-02-23 UTC"
"141",2002-02-25,2,NA,1,1,NA,1,"2002-W08","2002-02-24 UTC--2002-03-02 UTC"
"142",2002-02-25,1,NA,1,1,NA,1,"2002-W08","2002-02-24 UTC--2002-03-02 UTC"
"143",2002-02-27,1,NA,1,1,NA,1,"2002-W08","2002-02-24 UTC--2002-03-02 UTC"
"144",2002-02-28,1,NA,1,NA,1,1,"2002-W08","2002-02-24 UTC--2002-03-02 UTC"
"145",2002-03-01,1,NA,1,NA,1,1,"2002-W08","2002-02-24 UTC--2002-03-02 UTC"
"146",2002-03-02,1,NA,1,1,NA,1,"2002-W08","2002-02-24 UTC--2002-03-02 UTC"
