"date","date1","survey_year","oslosp","oslobl","negot_sp","negot_bl","peacesp","peacebl","gender","age","educ","relig","incom","political_spectrum"
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,46,6,5,4,2
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,46,6,5,3,3
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,1,27,4,5,2,1
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,18,3,5,2,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,65,6,5,2,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,49,4,5,1,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,42,4,5,3,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,1,30,3,5,2,3
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,22,3,5,4,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,30,6,5,NA,4
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,24,5,5,3,1
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,23,6,5,2,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,30,6,5,1,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,24,6,5,3,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,26,5,5,NA,4
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,1,68,4,4,3,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,66,6,4,3,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,80,4,4,4,2
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,32,6,4,5,2
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,55,3,4,2,2
2011-05-17,203.5,2011,NA,NA,1,4,NA,NA,2,60,2,4,5,3
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,1,50,6,4,5,3
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,30,6,4,4,3
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,65,5,4,4,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,44,6,4,3,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,58,4,4,4,1
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,62,1,4,1,4
2011-05-17,203.5,2011,NA,NA,5,4,NA,NA,1,56,3,4,3,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,58,3,4,4,2
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,55,6,4,5,1
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,60,2,4,1,3
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,70,1,4,1,3
2011-05-17,203.5,2011,NA,NA,5,4,NA,NA,1,19,3,4,6,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,60,4,4,4,2
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,60,3,4,4,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,28,6,4,3,4
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,42,6,4,4,1
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,44,6,4,4,4
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,25,3,4,2,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,35,6,4,3,2
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,34,6,4,3,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,49,3,4,2,3
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,61,3,4,4,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,1,52,3,4,3,1
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,46,3,4,1,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,52,3,4,1,3
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,41,3,4,2,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,38,6,4,1,2
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,2,53,4,4,7,3
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,2,50,3,4,3,3
2011-05-17,203.5,2011,NA,NA,1,1,NA,NA,2,58,3,4,1,2
2011-05-17,203.5,2011,NA,NA,5,4,NA,NA,1,51,6,4,5,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,46,6,4,5,2
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,67,6,4,1,1
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,54,6,4,3,1
2011-05-17,203.5,2011,NA,NA,1,3,NA,NA,2,56,6,4,4,4
2011-05-17,203.5,2011,NA,NA,3,2,NA,NA,1,60,4,4,1,1
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,44,4,4,2,4
2011-05-17,203.5,2011,NA,NA,4,4,NA,NA,1,22,3,4,7,4
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,32,6,4,2,1
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,2,84,6,3,3,1
2011-05-17,203.5,2011,NA,NA,2,4,NA,NA,2,62,2,3,1,3
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,58,3,3,5,4
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,86,1,3,2,1
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,40,3,3,7,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,1,65,6,3,4,3
2011-05-17,203.5,2011,NA,NA,3,3,NA,NA,2,26,6,3,4,4
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,1,50,3,3,4,3
2011-05-17,203.5,2011,NA,NA,1,2,NA,NA,1,70,3,3,3,4
2011-05-17,203.5,2011,NA,NA,3,4,NA,NA,1,58,4,3,2,4
2011-05-17,203.5,2011,NA,NA,2,3,NA,NA,2,41,3,3,1,3
2011-05-17,203.5,2011,NA,NA,2,2,NA,NA,2,50,6,3,2,2
