yearweek,total_killed,q3,survey_date,intifada,week0ago,week1ago,week2ago,week3ago,week4ago,week5ago,week6ago,week7ago,week8ago
2005-W04,NA,NA,NA,1,0,0,1,2,0,0,1,0,0
2005-W05,NA,1.781496062992126,2005-01-31,1,0,0,0,1,2,0,0,1,0
2005-W06,NA,NA,NA,1,0,0,0,0,1,2,0,0,1
2005-W07,NA,NA,NA,0,0,0,0,0,0,1,2,0,0
2005-W08,5,NA,NA,0,5,0,0,0,0,0,1,2,0
2005-W09,NA,1.8484251968503935,2005-02-27,0,0,5,0,0,0,0,0,1,2
2005-W10,NA,NA,NA,0,0,0,5,0,0,0,0,0,1
2005-W11,NA,NA,NA,0,0,0,0,5,0,0,0,0,0
2005-W12,NA,NA,NA,0,0,0,0,0,5,0,0,0,0
2005-W13,NA,1.8610567514677103,2005-03-31,0,0,0,0,0,0,5,0,0,0
2005-W14,NA,NA,NA,0,0,0,0,0,0,0,5,0,0
2005-W15,NA,NA,NA,0,0,0,0,0,0,0,0,5,0
2005-W16,NA,NA,NA,0,0,0,0,0,0,0,0,0,5
2005-W17,NA,1.9526627218934913,2005-04-30,0,0,0,0,0,0,0,0,0,0
2005-W18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W19,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W20,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W21,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W22,NA,1.8700787401574803,2005-05-31,0,0,0,0,0,0,0,0,0,0
2005-W23,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W24,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W25,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W26,NA,1.908366533864542,2005-06-30,0,0,0,0,0,0,0,0,0,0
2005-W27,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W28,6,NA,NA,0,6,0,0,0,0,0,0,0,0
2005-W29,NA,NA,NA,0,0,6,0,0,0,0,0,0,0
2005-W30,NA,NA,NA,0,0,0,6,0,0,0,0,0,0
2005-W31,NA,2.0475247524752476,2005-07-31,0,0,0,0,6,0,0,0,0,0
2005-W32,NA,NA,NA,0,0,0,0,0,6,0,0,0,0
2005-W33,NA,NA,NA,0,0,0,0,0,0,6,0,0,0
2005-W34,NA,NA,NA,0,0,0,0,0,0,0,6,0,0
2005-W35,NA,1.9663366336633663,2005-08-31,0,0,0,0,0,0,0,0,6,0
2005-W36,NA,NA,NA,0,0,0,0,0,0,0,0,0,6
2005-W37,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W38,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W39,NA,1.9568627450980391,2005-09-29,0,0,0,0,0,0,0,0,0,0
2005-W40,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W41,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W42,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2005-W43,7,NA,NA,0,7,0,0,0,0,0,0,0,0
2005-W44,NA,1.9475728155339807,2005-10-31,0,0,7,0,0,0,0,0,0,0
2005-W45,NA,NA,NA,0,0,0,7,0,0,0,0,0,0
2005-W46,NA,NA,NA,0,0,0,0,7,0,0,0,0,0
2005-W47,NA,NA,NA,0,0,0,0,0,7,0,0,0,0
2005-W48,NA,NA,NA,0,0,0,0,0,0,7,0,0,0
2005-W49,5,NA,NA,0,5,0,0,0,0,0,7,0,0
2005-W50,NA,NA,NA,0,0,5,0,0,0,0,0,7,0
2005-W51,NA,NA,NA,0,0,0,5,0,0,0,0,0,7
2005-W52,NA,1.9387351778656128,2005-12-28,0,0,0,0,5,0,0,0,0,0
2006-W01,NA,NA,NA,0,0,0,0,0,5,0,0,0,0
2006-W02,NA,NA,NA,0,0,0,0,0,0,5,0,0,0
2006-W03,NA,NA,NA,0,0,0,0,0,0,0,5,0,0
2006-W04,NA,NA,NA,0,0,0,0,0,0,0,0,5,0
2006-W05,NA,NA,2006-01-31,0,0,0,0,0,0,0,0,0,5
2006-W06,1,NA,NA,0,1,0,0,0,0,0,0,0,0
2006-W07,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
2006-W08,NA,NA,NA,0,0,0,1,0,0,0,0,0,0
2006-W09,NA,2.1497005988023954,2006-02-28,0,0,0,0,1,0,0,0,0,0
2006-W10,NA,NA,NA,0,0,0,0,0,1,0,0,0,0
2006-W11,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
2006-W12,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
2006-W13,NA,2.0039370078740157,2006-03-31,0,0,0,0,0,0,0,0,1,0
2006-W14,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
2006-W15,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W16,7,NA,NA,0,7,0,0,0,0,0,0,0,0
2006-W17,NA,NA,NA,0,0,7,0,0,0,0,0,0,0
2006-W18,NA,2.091633466135458,2006-04-30,0,0,0,7,0,0,0,0,0,0
2006-W19,NA,NA,NA,0,0,0,0,7,0,0,0,0,0
2006-W20,NA,NA,NA,0,0,0,0,0,7,0,0,0,0
2006-W21,NA,NA,NA,0,0,0,0,0,0,7,0,0,0
2006-W22,NA,2.1394891944990175,2006-05-31,0,0,0,0,0,0,0,7,0,0
2006-W23,NA,NA,NA,0,0,0,0,0,0,0,0,7,0
2006-W24,NA,NA,NA,0,0,0,0,0,0,0,0,0,7
2006-W25,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W26,2,2.263779527559055,2006-06-30,0,2,0,0,0,0,0,0,0,0
2006-W27,NA,NA,NA,0,0,2,0,0,0,0,0,0,0
2006-W28,NA,NA,NA,0,0,0,2,0,0,0,0,0,0
2006-W29,NA,NA,NA,0,0,0,0,2,0,0,0,0,0
2006-W30,NA,NA,NA,0,0,0,0,0,2,0,0,0,0
2006-W31,NA,2.334622823984526,2006-07-31,0,0,0,0,0,0,2,0,0,0
2006-W32,NA,NA,NA,0,0,0,0,0,0,0,2,0,0
2006-W33,NA,NA,NA,0,0,0,0,0,0,0,0,2,0
2006-W34,NA,NA,NA,0,0,0,0,0,0,0,0,0,2
2006-W35,NA,2.242063492063492,2006-08-31,0,0,0,0,0,0,0,0,0,0
2006-W36,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W37,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W38,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W39,NA,2.2647619047619045,2006-09-26,0,0,0,0,0,0,0,0,0,0
2006-W40,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W41,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W42,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W43,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W44,NA,NA,2006-10-31,0,0,0,0,0,0,0,0,0,0
2006-W45,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2006-W46,1,NA,NA,0,1,0,0,0,0,0,0,0,0
2006-W47,1,NA,NA,0,1,1,0,0,0,0,0,0,0
2006-W48,NA,1.972386587771203,2006-11-30,0,0,1,1,0,0,0,0,0,0
2006-W49,NA,NA,NA,0,0,0,1,1,0,0,0,0,0
2006-W50,NA,NA,NA,0,0,0,0,1,1,0,0,0,0
2006-W51,NA,NA,NA,0,0,0,0,0,1,1,0,0,0
2006-W52,NA,2.0020491803278686,2006-12-30,0,0,0,0,0,0,1,1,0,0
2006-W53,NA,NA,NA,0,0,0,0,0,0,0,1,1,0
2007-W00,NA,NA,NA,0,0,0,0,0,0,0,0,1,1
2007-W01,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
2007-W02,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W03,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W04,3,2.0994152046783623,2007-01-31,0,3,0,0,0,0,0,0,0,0
2007-W05,NA,NA,NA,0,0,3,0,0,0,0,0,0,0
2007-W06,NA,NA,NA,0,0,0,3,0,0,0,0,0,0
2007-W07,NA,NA,NA,0,0,0,0,3,0,0,0,0,0
2007-W08,NA,2.150793650793651,2007-02-28,0,0,0,0,0,3,0,0,0,0
2007-W09,NA,NA,NA,0,0,0,0,0,0,3,0,0,0
2007-W10,NA,NA,NA,0,0,0,0,0,0,0,3,0,0
2007-W11,NA,NA,NA,0,0,0,0,0,0,0,0,3,0
2007-W12,NA,1.988235294117647,2007-03-28,0,0,0,0,0,0,0,0,0,3
2007-W13,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W14,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W15,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W16,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W17,NA,2.1240740740740742,2007-04-30,0,0,0,0,0,0,0,0,0,0
2007-W18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W19,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W20,1,NA,NA,0,1,0,0,0,0,0,0,0,0
