"","yearweek","total_killed","total_events_located_IL","total_events_located_yesha","total_events_target_civilian","total_events_target_security_forces","total_attacks","q1","q2","survey_date","temperature","humidity","week_range","week_number","week0ago","week1ago","week2ago","week3ago","week4ago"
"385","2007-W51",2,0,1,1,0,1,NA,NA,NA,12.81785714,65.98214286,"2007-12-23 UTC--2007-12-29 UTC","week1ago",2,0,0,0,0
"386","2007-W52",NA,NA,NA,NA,NA,NA,2.811507937,3.507936508,"31/12/2007",10.3125,59.375,NA,"week5ago",0,2,0,0,0
"387","2008-W00",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.55,73.9,NA,"week4ago",0,0,2,0,0
"388","2008-W01",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.87321429,74.66071429,NA,"week3ago",0,0,0,2,0
"389","2008-W02",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.489285714,50.42857143,NA,"week2ago",0,0,0,0,2
"390","2008-W03",1,0,1,0,1,1,NA,NA,NA,11.1875,74.60714286,"2008-01-20 UTC--2008-01-26 UTC","week1ago",1,0,0,0,0
"391","2008-W04",NA,NA,NA,NA,NA,NA,2.942574257,3.691089109,"31/01/2008",11.17636364,74.67857143,NA,"week4ago",0,1,0,0,0
"392","2008-W05",1,1,0,1,0,1,NA,NA,NA,12.64464286,67.41071429,"2008-02-03 UTC--2008-02-09 UTC","week3ago",1,0,1,0,0
"393","2008-W06",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.90892857,76.78571429,NA,"week2ago",0,1,0,1,0
"394","2008-W07",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98392857,68.44642857,NA,"week1ago",0,0,1,0,1
"395","2008-W08",3,1,1,1,1,2,3.033932136,3.754491018,"29/02/2008",14.33392857,76.32142857,"2008-02-24 UTC--2008-03-01 UTC","week5ago",3,0,0,1,0
"396","2008-W09",10,1,1,1,1,2,NA,NA,NA,17.55714286,68.125,"2008-03-02 UTC--2008-03-08 UTC","week4ago",10,3,0,0,1
"397","2008-W10",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.65535714,68.91071429,NA,"week3ago",0,10,3,0,0
"398","2008-W11",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.49821429,54.48214286,NA,"week2ago",0,0,10,3,0
"399","2008-W12",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.76607143,48.57142857,NA,"week1ago",0,0,0,10,3
"400","2008-W13",NA,NA,NA,NA,NA,NA,0,0,"31/03/2008",17.03214286,66.03571429,NA,"week4ago",0,0,0,0,10
"401","2008-W14",3,1,1,1,1,2,NA,NA,NA,18.7125,63.46428571,"2008-04-06 UTC--2008-04-12 UTC","week3ago",3,0,0,0,0
"402","2008-W15",3,1,0,0,1,1,NA,NA,NA,21.55535714,55.66071429,"2008-04-13 UTC--2008-04-19 UTC","week2ago",3,3,0,0,0
"403","2008-W16",2,0,1,1,0,1,NA,NA,NA,23.04642857,55.19642857,"2008-04-20 UTC--2008-04-26 UTC","week1ago",2,3,3,0,0
"404","2008-W17",NA,NA,NA,NA,NA,NA,0,0,"30/04/2008",18.41785714,63.625,NA,"week4ago",0,2,3,3,0
"405","2008-W18",1,1,0,1,0,1,NA,NA,NA,19.75357143,59.92857143,"2008-05-04 UTC--2008-05-10 UTC","week3ago",1,0,2,3,3
"406","2008-W19",1,1,0,1,0,1,NA,NA,NA,21.73392857,58.16071429,"2008-05-11 UTC--2008-05-17 UTC","week2ago",1,1,0,2,3
"407","2008-W20",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.86428571,70.83928571,NA,"week1ago",0,1,1,0,2
"408","2008-W21",NA,NA,NA,NA,NA,NA,0,0.003944773,"31/05/2008",22.56964286,69.80357143,NA,"week5ago",0,0,1,1,0
"409","2008-W22",1,1,0,1,0,1,NA,NA,NA,24.64285714,63.85714286,"2008-06-01 UTC--2008-06-07 UTC","week4ago",1,0,0,1,1
"410","2008-W23",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.04285714,60.28571429,NA,"week3ago",0,1,0,0,1
"411","2008-W24",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.23928571,64.75,NA,"week2ago",0,0,1,0,0
"412","2008-W25",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.48571429,69.71428571,NA,"week1ago",0,0,0,1,0
"413","2008-W26",2,1,0,1,0,1,2.833001988,3.666003976,"30/06/2008",26.84107143,70.26785714,"2008-06-29 UTC--2008-07-05 UTC","week5ago",2,0,0,0,1
