"","yearweek","total_killed","q1","q2","date","week0ago","week1ago","week2ago","week3ago","week4ago"
"367","2007-W33",NA,NA,NA,NA,0,0,0,0,0
"368","2007-W34",NA,3.12103174603175,3.95436507936508,2007-08-31,0,0,0,0,0
"369","2007-W35",NA,NA,NA,NA,0,0,0,0,0
"370","2007-W36",NA,NA,NA,NA,0,0,0,0,0
"371","2007-W37",NA,NA,NA,NA,0,0,0,0,0
"372","2007-W38",NA,NA,NA,NA,0,0,0,0,0
"373","2007-W39",NA,3,3.77845528455285,2007-09-30,0,0,0,0,0
"374","2007-W40",NA,NA,NA,NA,0,0,0,0,0
"375","2007-W41",NA,NA,NA,NA,0,0,0,0,0
"376","2007-W42",NA,NA,NA,NA,0,0,0,0,0
"377","2007-W43",NA,2.64870259481038,3.46506986027944,2007-10-31,0,0,0,0,0
"378","2007-W44",NA,NA,NA,NA,0,0,0,0,0
"379","2007-W45",NA,NA,NA,NA,0,0,0,0,0
"380","2007-W46",NA,NA,NA,NA,0,0,0,0,0
"381","2007-W47",NA,2.756,3.534,2007-11-30,0,0,0,0,0
"382","2007-W48",NA,NA,NA,NA,0,0,0,0,0
"383","2007-W49",NA,NA,NA,NA,0,0,0,0,0
"384","2007-W50",NA,NA,NA,NA,0,0,0,0,0
"385","2007-W51",NA,NA,NA,NA,0,0,0,0,0
"386","2007-W52",NA,2.81150793650794,3.50793650793651,2007-12-31,0,0,0,0,0
"387","2008-W00",NA,NA,NA,NA,0,0,0,0,0
"388","2008-W01",NA,NA,NA,NA,0,0,0,0,0
"389","2008-W02",NA,NA,NA,NA,0,0,0,0,0
"390","2008-W03",NA,NA,NA,NA,0,0,0,0,0
"391","2008-W04",NA,2.94257425742574,3.69108910891089,2008-01-31,0,0,0,0,0
"392","2008-W05",1,NA,NA,NA,1,0,0,0,0
"393","2008-W06",NA,NA,NA,NA,0,1,0,0,0
"394","2008-W07",NA,NA,NA,NA,0,0,1,0,0
"395","2008-W08",1,3.03393213572854,3.75449101796407,2008-02-29,1,0,0,1,0
"396","2008-W09",8,NA,NA,NA,8,1,0,0,1
"397","2008-W10",NA,NA,NA,NA,0,8,1,0,0
"398","2008-W11",NA,NA,NA,NA,0,0,8,1,0
"399","2008-W12",NA,NA,NA,NA,0,0,0,8,1
"400","2008-W13",NA,0,0,2008-03-31,0,0,0,0,8
"401","2008-W14",2,NA,NA,NA,2,0,0,0,0
"402","2008-W15",3,NA,NA,NA,3,2,0,0,0
"403","2008-W16",NA,NA,NA,NA,0,3,2,0,0
"404","2008-W17",NA,0,0,2008-04-30,0,0,3,2,0
"405","2008-W18",1,NA,NA,NA,1,0,0,3,2
"406","2008-W19",1,NA,NA,NA,1,1,0,0,3
"407","2008-W20",NA,NA,NA,NA,0,1,1,0,0
"408","2008-W21",NA,0,0.00394477317554241,2008-05-31,0,0,1,1,0
"409","2008-W22",1,NA,NA,NA,1,0,0,1,1
"410","2008-W23",NA,NA,NA,NA,0,1,0,0,1
"411","2008-W24",NA,NA,NA,NA,0,0,1,0,0
