"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","district","year","TreatmentControl","TC"
"T301502085",1,20,0,0,4,25,2,0,1,NA,NA,"",0,0,0,0,0,4,10,0,0,3,0,0,2,NA,NA,1,NA,NA,0,NA,0,0,0,1,2018,"Control",0
"T301001084",0.800000011920929,35,0,3,1,39.7999992370605,2,0,1,0,0,"",0,0,0,0,0,6,20,0,0,3,0,0,2,NA,NA,1,NA,NA,NA,1,3000,0,0,1,2018,"Control",0
"T304807087",11,80,10,0,4,105,2,0,1,0,0,"",0,0,0,0,0,4,20,19,0,2,2,NA,2,2,NA,2,2,NA,NA,NA,0,0,0,1,2018,"Control",0
"T304804086",10,33,0,0,0,43,2,0,2,NA,NA,"",0,0,0,0,0,6,6,10,0,2,2,NA,2,2,NA,1,2,NA,10,1,2200,0,0,1,2018,"Control",0
"T304808083",0.800000011920929,60,0,40,0,100.800003051758,2,0,1,0,NA,"",0,0,0,0,0,5,30,0,0,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,0,0,0,1,2018,"Control",0
"T304808082",0.400000005960464,50,0,10,0,60.4000015258789,2,0,5,NA,NA,"",0,0,0,0,0,12,30,8,0,2,2,0,2,2,NA,1,1,NA,NA,NA,0,0,0,1,2018,"Control",0
"T301503080",0.5,60,0,0,20,2,NA,NA,NA,NA,NA,"",0,0,0,0,0,6,20,0,0,1,NA,NA,1,NA,NA,1,NA,NA,50,2,NA,0,0,1,2018,"Control",0
"T305105014",0.5,18,19,0,0.5,38,1,4,2,1,2068,"",0.400000005960464,NA,NA,NA,NA,4,18,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2018,"Control",0
"T309006004",2,40,0,0,0,42,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,18,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,42,2,0,50,50,2,2018,"Control",0
"T305102015",0.5,140,9,0,4.5,154,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,10,25,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,360,2,0,50,50,2,2018,"Control",0
"T309504024",2.5,100,40,0,6,148.5,1,148.5,1,3,2040,"LESS TAX",2.5,0,40,6,148,7,1,1,NA,2,2,NA,1,1,NA,1,1,NA,301.5,NA,0,0,0,2,2018,"Control",0
"T302608050",0.5,20,0,1,0,21.5,1,5,3,12,2065,"",0,0,0,0,5,4,5,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,15.5,NA,0,0,0,2,2018,"Control",0
"T300401028",1,100,0,0,5,106,2,0,0,NA,NA,"",0,0,0,0,0,9,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,101,2,0,0,0,2,2018,"Control",0
"T305104033",1,40,0,0,0,1,2,5,2,2,2068,"",0,0,0,0,25,4,8,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,15,NA,NA,0,0,2,2018,"Control",0
"T300607023",3,46,0,0,0,49,1,NA,2,3,2070,"LESS TAX",0,0,0,0,46,7,33,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,58,1,750,0,0,2,2018,"Control",0
"T305404025",0.5,100,0,6.5,0,107,1,40,2,3,2056,"LESS TAX",NA,NA,NA,NA,40,9,1,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,80.5,NA,NA,0,0,2,2018,"Control",0
"T309904032",2,50,6,0,0,58,1,3,2,3,2069,"",0,0,0,0,3,5,15,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,58,2,0,0,0,2,2018,"Control",0
"T300603032",2,150,0,8,1,161,2,0,0,NA,NA,"",NA,NA,NA,NA,NA,9,50,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,110,2,0,0,0,2,2018,"Control",0
"T301911010",27,160,0,0,60,247,1,100,3,NA,2070,"PAY LESS TAX",0,0,0,0,100,NA,100,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,180,NA,NA,NA,NA,3,2018,"Treatment",1
"T306004001",1,120,0,0,0,121,1,120,2,NA,2050,"PAY LESS TAX",0,0,0,0,120,NA,15,51,31,2,2,2,2,2,2,1,1,1,121,2,0,50,50,2,2018,"Treatment",1
"T305607002",4,240,55,0,2,301,1,100,2,NA,2060,"PAY LESS TAX",0,0,40,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,2,0,50,50,2,2018,"Treatment",1
"T300307001",1,10,60,0,0,71,1,4,6,NA,2073,"PAY LESS TAX",0,0,4,0,0,NA,60,60,NA,2,2,NA,1,2,NA,1,1,NA,71,NA,NA,NA,NA,2,2018,"Treatment",1
"T304802030",2,20,0,10,2,34,1,8,2,NA,2052,"GIVEN BY HER FATHER",2,0,0,0,6,NA,6,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2018,"Treatment",1
"T306102001",1,100,90,0,4,195,1,9,2,NA,2074,"",0,0,9,0,0,NA,68,18,30,2,2,2,2,2,2,1,1,1,195,2,NA,NA,NA,2,2018,"Treatment",1
"T305519001",2,60,0,0,5,67,1,4,2,NA,2072,"PAY LESS TAX",0,0,0,0,4,NA,12,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2018,"Treatment",1
"T305607004",3,90,32,3,2,130,1,46,2,NA,2044,"TRANSFERRED TO HER NAME",0,0,0,0,46,NA,18,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,229,NA,NA,NA,NA,2,2018,"Treatment",1
"T302806050",1,100,0,0,0,101,1,100,2,NA,2059,"",1,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,1,2018,"Treatment",1
"T306102002",2,120,80,0,60,262,1,40,3,NA,2065,"",0,0,0,0,40,NA,40,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,262,2,NA,NA,NA,2,2018,"Treatment",1
"T309708020",8,0,300,0,10,318,1,40,2,NA,2069,"",20,0,40,0,0,NA,40,40,40,2,1,2,2,1,2,1,1,1,318,NA,NA,NA,NA,1,2018,"Treatment",1
"T305607005",2.5,160,18,2,3,185.5,1,40,3,NA,2044,"",0,0,9,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,2,0,NA,NA,2,2018,"Treatment",1
"T308705001",2,140,107,0,15,264,1,80,1,NA,2060,"",0,0,80,0,0,NA,80,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,520,2,0,50,50,2,2018,"Treatment",1
"T305602003",2,100,8,0,5,115,1,20,5,NA,2060,"TRANSFERRED TO HER NAME",0,0,8,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,2,0,50,50,2,2018,"Treatment",1
"T308707002",10,160,40,0,0,210,1,10,2,NA,NA,"",0,0,10,0,0,NA,10,10,NA,4,2,NA,1,1,NA,1,1,NA,210,2,0,50,50,2,2018,"Treatment",1
"T305602001",15,300,0,0,10,325,1,80,1,NA,2060,"",NA,NA,NA,NA,80,NA,1,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,325,2,NA,50,50,2,2018,"Control",0
"T303007001",2,80,0,0,20,102,1,15,2,NA,2065,"PAY LESS TAX",0,0,0,0,15,10,15,20,NA,2,2,NA,2,2,NA,1,NA,NA,102,NA,NA,NA,NA,2,2018,"Treatment",1
"T300508099",1.5,20,80,0,5,106.5,1,20,2,NA,2069,"",0,0,0,0,20,NA,80,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,7,NA,NA,NA,NA,3,2018,"Treatment",1
"T308703001",2,50,0,0,2,54,1,15,2,NA,2065,"",0,0,0,0,15,5,13,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,42,NA,NA,NA,NA,2,2018,"Treatment",1
"T302608032",2,40,0,0,7,49,1,20,3,NA,2070,"",0,0,0,0,20,NA,20,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,49,NA,NA,0,0,2,2018,"Control",0
"T302608033",0.5,70,7,20,2,99.5,1,40,3,1,2064,"",0,0,0,0,40,3,40,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,99.5,NA,NA,NA,0,2,2018,"Control",0
"T302609007",1,40,0,2,10,53,1,20,3,NA,2070,"",0,0,0,0,20,2,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,10,NA,NA,NA,NA,2,2018,"Control",0
"T302603034",3,60,15,5,2,85,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,20,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,85,NA,NA,NA,NA,2,2018,"Treatment",1
"T302602009",1,60,0,0,3,64,1,10,2,NA,2064,"PAY LESS TAX",0,0,0,0,10,4,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,70,NA,NA,NA,NA,2,2018,"Treatment",1
"T300608006",1,240,27,0,3,271,1,27,4,NA,2030,"",0,0,27,0,0,4,27,70,NA,2,2,NA,1,2,NA,1,2,NA,271,2,NA,60,40,2,2018,"Treatment",1
"T301808003",4.5,15,0,0,3.5,23,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,15,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,20,NA,NA,NA,NA,3,2018,"Control",0
"T301805004",2,80,0,0,4,86,1,20,4,NA,2070,"PAY LESS TAX",0,0,0,0,20,3,20,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,66,NA,NA,NA,NA,3,2018,"Control",0
"T309306011",4,320,35,10,30,399,1,42,2,NA,2064,"",2,0,0,0,40,NA,40,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,400,2,1600,50,50,2,2018,"Control",0
"T309306012",1,100,15,0,6,122,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,30,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,122,NA,NA,NA,NA,2,2018,"Treatment",1
"T300608033",1,40,400,20,0,461,1,10,4,NA,2065,"",0,0,10,0,10,3,10,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,40,NA,NA,NA,NA,2,2018,"Treatment",1
"T303608010",1.5,120,40,2,5,168.5,1,20,4,NA,2065,"",0,0,0,0,20,5,40,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,168.5,2,NA,50,50,2,2018,"Control",0
"T305404026",15,200,90,NA,10,315,1,40,2,NA,2040,"PAY LESS TAX",0,0,40,0,0,5,40,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,315,2,NA,50,50,2,2018,"Control",0
"T300901112",140,0,10,0,20,170,1,40,2,8,2059,"PAY LESS TAX",40,NA,NA,NA,40,NA,80,80,NA,NA,NA,NA,2,2,NA,1,NA,NA,170,NA,NA,NA,NA,2,2018,"Control",0
"T300901113",80,0,0,0,10,90,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,2,2018,"Treatment",1
"T306004001",2.5,120,0,0,1.5,124,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,20,50,30,5,2,2,1,2,2,1,1,1,120,2,NA,50,50,2,2019,"Treatment",1
"T309708020",5,0,300,80,30,415,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,20,150,140,15,5,1,2,1,1,2,1,1,1,NA,NA,NA,NA,NA,1,2019,"Treatment",1
"T300608033",0.300000011920929,30,105,0,0,135.300003051758,2,NA,NA,NA,NA,"",0,0,0,0,0,3,70,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA,30,NA,NA,NA,NA,2,2019,"Treatment",1
"T302806050",1,80,0,0,12,93,1,40,3,NA,NA,"",NA,NA,NA,2,28,9,40,12,20,2,5,2,2,1,2,1,1,1,NA,NA,NA,NA,NA,1,2019,"Treatment",1
"T309306012",4,65,35,0,1.5,105.5,1,40,2,NA,2063,"",NA,NA,35,NA,5,2,35,10,10,5,2,2,1,2,NA,1,1,NA,100,1,2500,0,0,2,2019,"Treatment",1
"T300508099",1.39999997615814,20,80,0,0,101.400001525879,2,NA,NA,NA,NA,"",NA,NA,NA,NA,3,3,80,20,NA,5,2,NA,1,2,NA,1,2,NA,101.400001525879,NA,NA,NA,NA,3,2019,"Treatment",1
"T305602003",9,120,8,0,0,137,1,26,2,2,2055,"",2,0,0,0,24,13,16,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,120,2,0,50,50,2,2019,"Treatment",1
"T300406135",3,200,60,0,3,266,1,20,2,6,10,"",NA,NA,NA,NA,20,20,60,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2019,"Treatment",1
"T306102002",5,200,80,10,40,335,1,100,2,NA,NA,"",NA,NA,NA,NA,100,50,100,80,NA,5,2,NA,1,2,NA,2,2,NA,NA,2,5050,60,40,2,2019,"Treatment",1
"T305607002",2,160,45,0,0,207,2,NA,NA,NA,NA,"",0,0,0,0,0,5,45,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,160,2,0,50,50,2,2019,"Treatment",1
"T308707002",10,100,40,0,0,150,1,25,1,2,2070,"",0,0,0,0,25,4,40,25,NA,5,2,NA,1,1,NA,1,1,NA,140,2,0,50,50,2,2019,"Treatment",1
"T306102001",0.5,80,60,0,4,144.5,1,10,2,2,2074,"",0,0,0,0,10,9,60,25,NA,5,2,NA,1,2,NA,1,1,NA,80,2,0,50,50,2,2019,"Treatment",1
"T304802030",0.349999994039536,9,0,0,0,9.35000038146973,2,NA,NA,NA,NA,"",0,0,0,0,0,2,7,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,20,NA,NA,NA,NA,1,2019,"Treatment",1
"T305519001",10,60,3,0,0,73,2,6,2,2,2030,"",0,0,0,0,6,8,3,5,NA,5,0,NA,1,2,NA,1,2,NA,73,NA,NA,NA,NA,3,2019,"Treatment",1
"T301911010",2,300,0,0,20,322,1,100,2,2,2069,"",0,0,0,0,100,2,300,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,300,NA,NA,NA,NA,3,2019,"Treatment",1
"T300307001",2,10,70,0,0,82,1,70,2,1,2069,"",0,0,70,0,0,4,70,5,3,5,1,1,1,2,2,1,2,2,82,NA,NA,NA,NA,2,2019,"Treatment",1
"T302602009",2.5,100,2,0,2,106.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,20,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,50,50,2,2019,"Treatment",1
"T304802122",4,30,0,0,0,40,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,10,5,5,5,1,NA,1,2,NA,1,2,2,40,2,NA,50,50,1,2019,"Treatment",1
"T308705001",2,300,120,0,5,427,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,120,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,50,50,2,2019,"Treatment",1
"T305001120",1.5,240,0,0,30,271.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,65,80,40,5,NA,2,1,NA,NA,1,NA,NA,270,NA,NA,NA,NA,1,2019,"Treatment",1
"T303007001",8,80,0,0,18,106,1,24,2,1,NA,"",10,0,0,0,14,5,16,12,NA,5,0,NA,1,2,NA,1,2,NA,NA,2,0,50,50,2,2019,"Treatment",1
"T305607005",5,240,13,0,0,258,2,NA,NA,NA,NA,"",0,0,0,0,0,10,13,25,NA,5,2,NA,1,1,NA,1,NA,NA,200,NA,NA,NA,NA,2,2019,"Treatment",1
"T300608006",1,280,50,0,0,331,1,100,4,1,2032,"",0,0,0,0,100,5,50,30,20,5,2,2,1,2,2,1,2,2,200,2,0,50,50,2,2019,"Treatment",1
"T308703001",5,60,0,0,0,65,1,40,2,NA,2050,"",12,0,0,0,28,5,12,15,10,5,0,0,1,2,2,1,NA,NA,47,2,0,50,50,2,2019,"Treatment",1
"T300901113",5,80,0,0,0,85,2,NA,NA,NA,NA,"",0,0,0,0,0,4,30,10,7,5,0,0,1,2,2,1,NA,NA,80,2,NA,50,50,2,2019,"Treatment",1
"T302603034",4,60,10,5,0,79,2,40,NA,NA,2070,"PROPERTY DIVISION",0,0,0,0,40,10,20,10,5,5,2,2,1,1,1,1,NA,NA,60,2,0,50,50,2,2019,"Treatment",1
"T305607004",2,100,33,0,0,135,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,50,33,NA,5,5,NA,1,1,NA,NA,1,NA,140,NA,NA,NA,NA,2,2019,"Treatment",1
"T304802123",1,20,0,0,0.5,21.5,2,NA,NA,NA,NA,"",0,0,0,0,0,5,5,4,NA,5,2,NA,1,2,NA,1,NA,NA,15,2,0,50,50,1,2019,"Treatment",1
"T304905099",2,40,0,0,1.5,43.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,15,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,43,NA,NA,NA,NA,1,2019,"Control",0
"T302608031",1,35,0,0,0,36,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,13,10,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,1,1000,NA,NA,2,2019,"Control",0
"T304901100",0.5,6,0,0,0,6.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,6,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,6,NA,NA,NA,NA,1,2019,"Control",0
"T307408001",1,30,0,0,0,31,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,15,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,31,NA,NA,NA,NA,3,2019,"Control",0
"T301503134",1.29999995231628,10,0,0,5,16.2999992370605,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,5,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,16,NA,NA,NA,NA,1,2019,"Control",0
"T309504024",1.29999995231628,30,0,0,0,31.2999992370605,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,15,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,31.2999992370605,NA,NA,NA,NA,2,2019,"Control",0
"T304308003",8,60,5,0,0,73,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,40,10,10,2,2,2,2,2,2,1,2,3,73,NA,NA,NA,NA,3,2019,"Control",0
"T301503081",4,160,0,0,14,178,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,0,14,NA,2,2,NA,2,2,NA,1,2,NA,NA,2,NA,50,50,1,2019,"Control",0
"T302608029",4,20,0,0,0,24,2,0,0,NA,NA,"",NA,NA,NA,NA,NA,2,11,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,2,0,50,50,2,2019,"Control",0
"T309009013",2.5,50,5,0,3,60.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,50,50,2,2019,"Control",0
"T302608003",0.75,100,0,0,9,109.75,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2019,"Control",0
"T302607029",2,60,0,0,0,62,1,15,2,NA,2071,"PAY LESS TAX",NA,NA,NA,NA,15,4,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,62,2,NA,50,50,2,2019,"Control",0
"T306708132",1.20000004768372,40,0,0,2,43.2000007629395,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,20,12,NA,3,3,NA,2,2,NA,1,2,NA,43.2000007629395,2,NA,50,50,1,2019,"Control",0
"T309303010",1.5,35,0,0,0,36.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,2,2019,"Control",0
"T303806078",1.5,30,0,0,0,31.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,15,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,31,NA,NA,NA,NA,1,2019,"Control",0
"T303807077",0.850000023841858,18,0,0,2,20.8500003814697,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,12,6,NA,0,0,NA,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,1,2019,"Control",0
"T302607006",1.5,50,5,0,0,56.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,30,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,56.5,2,NA,50,50,2,2019,"Control",0
"T305104033",1.25,45,0,0,0,46.25,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,25,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,46.25,2,NA,50,50,2,2019,"Control",0
"T302608032",1.5,60,0,0,5,66.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,20,20,NA,2,1,NA,2,2,NA,1,2,NA,66.5,NA,NA,NA,NA,2,2019,"Control",0
"T305102015",1.5,160,25,0,0,186.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,4,NA,30,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,440,2,NA,50,50,2,2019,"Control",0
"T300603032",1.39999997615814,40,10,0,0,51.4000015258789,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,50,50,2,2019,"Control",0
"T302608026",1.5,60,0,0,6,67.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,20,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,67.5,2,NA,50,50,2,2019,"Control",0
"T305007121",1,30,0,0,0,31,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,50,50,1,2019,"Control",0
"T303505004",2,60,0,0,5,67,2,NA,NA,NA,NA,"",NA,NA,NA,NA,5,NA,20,10,NA,2,2,NA,2,2,NA,1,1,NA,67,NA,NA,NA,NA,3,2019,"Control",0
"T304804086",1,30,0,0,0,31,2,NA,NA,NA,NA,"",0,0,0,0,0,5,15,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA,13,NA,NA,NA,NA,1,2019,"Control",0
"T301503071",2,100,0,10,13,125,1,50,4,11,2059,"",5,0,0,5,40,15,29,15,12,2,2,2,2,2,2,1,1,1,60,2,0,50,50,1,2019,"Control",0
"T304808083",2,40,0,60,0,102,2,0,NA,NA,NA,"",0,0,0,0,0,9,12,7,NA,2,2,NA,2,2,NA,1,1,NA,40,1,1000,0,0,1,2019,"Control",0
"T300409001",1,35,0,0,0,36,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,15,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2019,"Control",0
"T304705090",3,145,60,0,0,208,1,20,2,NA,NA,"",0,0,0,0,20,7,60,40,50,5,1,2,1,2,2,1,1,1,208,2,NA,50,50,1,2019,"Control",0
"T300607023",0.600000023841858,40,6,0,0,46.5999984741211,1,40,4,1,2060,"",0,0,0,0,40,3,35,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2019,"Control",0
"T300601005",1,40,0,0,0,41,1,28,2,6,2064,"PROPERTY DIVISION",0,0,0,0,1,4,10,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,40,NA,NA,NA,NA,2,2019,"Control",0
"T307001095",2,80,0,0,0,82,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,30,21,NA,2,0,NA,2,0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2019,"Control",0
"T300401028",1,80,20,0,20,121,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,8,35,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,60,2,NA,50,50,2,2019,"Control",0
"T305602001",2,270,0,0,3,275,1,60,1,NA,2063,"",0,0,0,0,60,4,120,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,270,NA,NA,NA,NA,2,2019,"Control",0
"T303603009",1,40,0,0,0,41,2,0,0,NA,NA,"",NA,NA,NA,NA,NA,8,20,13,NA,0,0,NA,0,0,NA,1,NA,NA,40,0,0,NA,0,2,2019,"Control",0
"T302606024",3,280,10,0,4,297,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,20,40,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,2,NA,50,50,2,2019,"Control",0
