"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","district","year","TreatmentControl","TC"
"T301502070",2,10,0,0,5,17,1,5,2,2,2070,"",NA,NA,NA,NA,5,3,10,5,1.5,2,2,2,2,2,2,1,1,1,80,NA,NA,NA,NA,1,2019,"Control",0
"T302609007",0.75,60,0,3,2,65.75,1,60,5,NA,2074,"",0,0,0,0,60,9,20,10,9,2,2,2,2,2,2,1,1,1,10,2,0,50,50,2,2019,"Control",0
"T305404026",5,100,20,0,5,130,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,6,30,25,NA,2,2,NA,2,2,NA,1,NA,NA,130,NA,NA,NA,NA,2,2019,"Control",0
"T302608033",1,80,7,0,0,88,1,4,3,2,2056,"",0,0,1,0,1,2,60,20,NA,1,1,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2019,"Control",0
"T304706131",1,40,0,40,0,81,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,40,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,0,NA,NA,NA,NA,1,2019,"Control",0
"T302606012",1.5,30,0,0,0,31.5,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,10,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,1,1000,0,0,2,2019,"Control",0
"T304707109",1,80,0,4,0,85,2,0,NA,NA,NA,"",NA,NA,NA,NA,NA,5,30,15,NA,0,0,NA,0,0,NA,1,0,NA,85,1,1000,0,0,1,2019,"Control",0
"T304705128",1.5,20,0,0,0,21.5,1,9,2,5,2071,"HUSBAND IS SICK",NA,NA,NA,NA,9,1,20,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,20,NA,NA,NA,NA,1,2019,"Control",0
"T301808003",7,30,0,0,9,46,2,NA,NA,NA,NA,"",0,0,0,0,0,3,18,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,30,NA,NA,NA,NA,3,2019,"Control",0
"T305105014",2.29999995231628,50,0,0,0,52.2999992370605,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,20,15,NA,2,2,NA,2,2,NA,1,1,NA,52.2999992370605,NA,NA,NA,NA,2,2019,"Control",0
