"household_questionnaire_id","time_to_irrigate_1_katha__p_1","year","district","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T210706005",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106604003",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210102001",60,2019,"SAPTARI",6,9,NA,16,6,NA,6,30,NA,15,22,36,73,"Control",NA
"T108804002",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T108803001",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109203005",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,15,15,"Control",NA
"T200104003",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T200101005",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203308002",30,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,32.0000004768372,NA,NA,NA,NA,32.0000004768372,32.0000004768372,"Control",NA
"T201105001",60,2019,"SAPTARI",40,NA,NA,NA,NA,NA,8,NA,NA,40,NA,8,48,"Control",NA
"T102007003",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202002",120,2019,"SAPTARI",NA,NA,NA,NA,40,28,NA,4,15,NA,68,19,87,"Control",NA
"T210407004",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210405002",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001701002",60,2019,"SAPTARI",83.1999969482422,NA,NA,NA,NA,NA,51.9999980926514,NA,NA,83.1999969482422,NA,51.9999980926514,135.199995040894,"Control",NA
"T107104002",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T107104001",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,40,40,"Control",NA
"T203309001",30,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,150,150,"Control",NA
"C008508001",30,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,96,96,"Control",NA
"T204807001",NA,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210407003",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202008",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,32,32,"Control",NA
"C008109001",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202010",150,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109203003",150,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109202009",180,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203309003",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001705001",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T103207003",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T103209004",300,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T103207002",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001401001",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100502006",120,2019,"SAPTARI",28,NA,NA,NA,NA,NA,18,NA,NA,28,NA,18,46,"Control",NA
"T100503001",NA,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009006001",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100509003",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C009006002",60,2019,"SAPTARI",75,NA,40,40,NA,60,45,NA,12,115,100,57,272,"Control",NA
