"year","district","household_questionnaire_id","days_in_a_season_pump_use_s_p1","hours_per_day_use_s__p_1","days_in_a_season_pump_use_s_p2","hours_per_day_use_s__p_2","days_in_a_season_pump_use_s_p3","hours_per_day_use_s__p_3","days_in_a_season_pump_use_m_p1","hours_per_day_use_m__p_1","days_in_a_season_pump_use_m_p2","hours_per_day_use_m__p_2","days_in_a_season_pump_use_m_p3","hours_per_day_use_m__p_3","days_in_a_season_pump_use_w_p1","hours_per_day_use_w__p_1","days_in_a_season_pump_use_w_p2","hours_per_day_use_w__p_2","days_in_a_season_pump_use_w_p3","hours_per_day_use_w__p_3","TreatmentControl","TC","ps1","ps2","ps3","pm1","pm2","pm3","pw1","pw2","pw3","Summer_hr","Monsoon_hr","Winter_hr","Yearly_hr","p1_hr","p2_hr","p3_hr","days_monsoon","days_winter","days_summer","days_year","days_p1","days_p2","days_p3"
2017,"Saptari","T100103003",7,7,7,7,NA,NA,10,5,10,8,NA,NA,5,3,5,2,NA,NA,"Control",NA,49,49,NA,50,80,NA,15,10,NA,98,130,25,253,114,139,NA,20,10,14,44,22,22,NA
2017,"Saptari","T100505004",7,8,NA,NA,NA,NA,16,7,NA,NA,NA,NA,9,6,NA,NA,NA,NA,"Control",NA,56,NA,NA,112,NA,NA,54,NA,NA,56,112,54,222,222,NA,NA,16,9,7,32,32,NA,NA
2017,"Saptari","T109903002",7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,"Control",NA,35,NA,NA,NA,NA,NA,20,NA,NA,35,NA,20,55,55,NA,NA,NA,5,7,12,12,NA,NA
2017,"Saptari","T109908003",5,7,NA,NA,NA,NA,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,35,NA,NA,63,NA,NA,NA,NA,NA,35,63,NA,98,98,NA,NA,9,NA,5,14,14,NA,NA
2017,"Saptari","C001410002",NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,50,NA,50,50,NA,NA,10,NA,NA,10,10,NA,NA
2017,"Saptari","T106604003",NA,NA,12,5,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,60,NA,NA,40,NA,NA,NA,NA,60,40,NA,100,NA,100,NA,8,NA,12,20,NA,20,NA
2017,"Saptari","T103207002",NA,NA,NA,NA,NA,NA,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,70,NA,70,70,NA,NA,14,NA,NA,14,14,NA,NA
2017,"Saptari","T104201002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Saptari","T205104005",NA,NA,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,40,NA,40,40,NA,NA,10,NA,NA,10,10,NA,NA
2017,"Saptari","T104209001",10,4,NA,NA,NA,NA,6,4,NA,NA,NA,NA,6,3,NA,NA,NA,NA,"Treatment",1,40,NA,NA,24,NA,NA,18,NA,NA,40,24,18,82,82,NA,NA,6,6,10,22,22,NA,NA
