"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"C001705001",12,"Vegetables","Summer",12,3,2,2,1,5,25,3,0,0,2017,"Saptari","Control",0,10,"CUCUMBER"
"T200101005",47,"Vegetables","Winter",8,12,3,2,2,2,5,1,50,30,2017,"Saptari","Control",0,12,"POTATO"
"T200101005",53,"Vegetables","Winter",8,12,2,2,2,3,5,1,25,20,2017,"Saptari","Control",0,12,"ONIONS"
"T200101005",37,"Vegetables","Summer",12,3,5,2,1,3,3,NA,20,20,2017,"Saptari","Control",0,15,"GREENLEAFY VEGETABLE"
"T200101005",11,"Vegetables","Summer",12,3,2,2,1,2,0,NA,25,25,2017,"Saptari","Control",0,4,"CHILLIES"
"T200101005",12,"Vegetables","Summer",12,3,2,2,1,3,0,NA,25,25,2017,"Saptari","Control",0,6,"CUCUMBER"
"T200101005",16,"Vegetables","Summer",12,3,2,2,1,3,0,NA,25,25,2017,"Saptari","Control",0,6,"SPONGE GOURD"
"T200101005",30,"Vegetables","Summer",12,3,2,2,1,3,0,NA,0,0,2017,"Saptari","Control",0,6,"YARD LONG BEANS"
"T200101005",8,"Vegetables","Summer",12,3,3,2,1,3,0,NA,25,20,2017,"Saptari","Control",0,9,"BRINJAL"
"T200101005",9,"Vegetables","Summer",12,3,2,2,1,3,0,NA,0,0,2017,"Saptari","Control",0,6,"BITTER GOURD"
"T200101005",10,"Vegetables","Summer",12,3,2,2,1,3,0,NA,0,0,2017,"Saptari","Control",0,6,"OKRA"
"T200102004",14,"Vegetables","Summer",12,3,2,2,2,10,10,3,0,0,2017,"Saptari","Control",0,40,"BOTTLE GOURD"
"T200104003",37,"Vegetables","Summer",12,3,2,2,2,5,20,3,80,25,2017,"Saptari","Control",0,20,"GREENLEAFY VEGETABLE"
"T200104003",14,"Vegetables","Summer",12,3,2,2,2,5,10,5,80,40,2017,"Saptari","Control",0,20,"BOTTLE GOURD"
"T200104003",12,"Vegetables","Summer",12,3,1,2,2,5,25,3,80,30,2017,"Saptari","Control",0,10,"CUCUMBER"
