"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"T204807001",12,"Vegetables","Summer",11,2,2,2,0.5,4,0,NA,50,8,2017,"Saptari","Control",0,4,"CUCUMBER"
"T103209004",1,"Paddy","Monsoon",3,7,6,2,2.5,1,3,1,0,0,2017,"Saptari","Control",0,15,"PADDY"
"T103209004",2,"Wheat","Winter",7,12,6,2,2.5,2,2.5,1,0,0,2017,"Saptari","Control",0,30,"WHEAT"
"T103209004",1,"Paddy","Summer",12,3,6,2,3,5,2.5,1,0,0,2017,"Saptari","Control",0,90,"PADDY"
"C001401001",1,"Paddy","Monsoon",3,7,15,2,2,1,3,1,0,0,2017,"Saptari","Control",0,30,"PADDY"
"C001401001",2,"Wheat","Winter",8,12,8,2,2,2,2.5,1,0,0,2017,"Saptari","Control",0,32,"WHEAT"
"C001401001",53,"Vegetables","Winter",9,1,2,2,2,5,1,1,40,12,2017,"Saptari","Control",0,20,"ONIONS"
"C001401001",47,"Vegetables","Winter",7,11,5,2,2,4,9,1,70,10,2017,"Saptari","Control",0,40,"POTATO"
"C001401001",1,"Paddy","Summer",12,3,10,2,2,4,2.5,1,0,0,2017,"Saptari","Control",0,80,"PADDY"
"C001401001",27,"Pulses","Summer",12,2,5,2,2,1,30,3,20,57,2017,"Saptari","Control",0,10,"GREEN GRAM"
"T210709003",1,"Paddy","Winter",3,7,80,2,1,1,2,1,60,18,2017,"Saptari","Treatment",1,80,"PADDY"
"T210709003",2,"Wheat","Winter",7,12,50,2,2,2,1,1,40,17,2017,"Saptari","Treatment",1,200,"WHEAT"
"T210709003",47,"Vegetables","Winter",8,11,10,2,2,4,10,1,45,10,2017,"Saptari","Treatment",1,80,"POTATO"
"T210709003",42,"Oilseeds","Winter",7,12,15,2,2,1,20,3,70,15,2017,"Saptari","Treatment",1,30,"LINSEED"
"T210709003",43,"Oilseeds","Winter",7,12,5,2,2,2,25,3,50,10,2017,"Saptari","Treatment",1,20,"MUSTARD"
"T210709003",1,"Paddy","Winter",12,3,12,2,2,5,1.5,1,0,0,2017,"Saptari","Treatment",1,120,"PADDY"
"T210407003",1,"Paddy","Monsoon",3,7,60,2,0.5,2,3,1,70,20,2017,"Saptari","Control",0,60,"PADDY"
"T210407003",2,"Wheat","Winter",7,12,50,2,1,2,2,1,30,18,2017,"Saptari","Control",0,100,"WHEAT"
"T210407003",42,"Oilseeds","Winter",7,12,1,0,0,0,30,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T210407003",43,"Oilseeds","Winter",7,11,4,2,0.5,2,30,3,40,50,2017,"Saptari","Control",0,4,"MUSTARD"
"T210407003",33,"Pulses","Winter",7,11,5,2,0.5,1,25,3,40,95,2017,"Saptari","Control",0,2.5,"RED LENTIL"
"T210407003",1,"Paddy","Summer",12,3,15,2,1,4,2,1,0,0,2017,"Saptari","Control",0,60,"PADDY"
"T104201003",1,"Paddy","Monsoon",3,7,15,2,2,1,4,1,0,0,2017,"Saptari","Control",0,30,"PADDY"
"T104201003",42,"Oilseeds","Winter",8,11,8,2,2,3,10,1,80,9,2017,"Saptari","Control",0,48,"LINSEED"
"T104201003",33,"Pulses","Winter",7,11,2,2,2,1,30,3,5,50,2017,"Saptari","Control",0,4,"RED LENTIL"
"T109205004",1,"Paddy","Monsoon",3,7,60,2,1,1,4,1,20,18,2017,"Saptari","Treatment",1,60,"PADDY"
"T109205004",2,"Wheat","Winter",7,12,42,2,1.5,2,2,1,15,15,2017,"Saptari","Treatment",1,126,"WHEAT"
"T109205004",53,"Vegetables","Winter",7,1,10,2,2,6,5,1,50,12,2017,"Saptari","Treatment",1,120,"ONIONS"
"T109205004",12,"Vegetables","Winter",7,1,3,2,2,4,0,NA,75,8,2017,"Saptari","Treatment",1,24,"CUCUMBER"
"T109205004",11,"Vegetables","Winter",7,1,2,2,2,3,0,NA,50,12,2017,"Saptari","Treatment",1,12,"CHILLIES"
"T109205004",24,"Pulses","Winter",7,1,3,2,2,4,0,NA,70,12,2017,"Saptari","Treatment",1,24,"HORSE GRAM"
"T109205004",1,"Paddy","Summer",12,3,10,2,2,5,2.5,1,0,0,2017,"Saptari","Treatment",1,100,"PADDY"
"T109203003",1,"Paddy","Monsoon",3,7,21,2,0.5,1,4,1,0,0,2017,"Saptari","Control",0,10.5,"PADDY"
"T109203003",2,"Wheat","Winter",7,12,15,2,0.5,2,2.5,1,0,0,2017,"Saptari","Control",0,15,"WHEAT"
"T109203003",43,"Oilseeds","Winter",7,9,2,2,2,2,25,3,40,70,2017,"Saptari","Control",0,8,"MUSTARD"
