"household_questionnaire_id","season","total_ownland_cultivated","total_land_lease_sharecrop_in","land_lease_sharecrop_out","own_land_fallow","total_land_cultivated","irrigated_out_of_tot_land_cult","year","district","TreatmentControl","TC","total_land_cultivated_year","land_for_cultivation","season_detail"
"T210407003","Winter",60,0,0,0,60,60,2017,"Saptari","Control",0,135,60,"WINTER 2073"
"T210407003","Summer",15,0,0,45,15,15,2017,"Saptari","Control",0,135,60,"SUMMER 2074"
"T210407003","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,135,60,"ANNUAL 2073-74"
"T104201003","Monsoon",15,0,21,0,15,15,2017,"Saptari","Control",0,25,36,"MONSOON 2073"
"T104201003","Winter",10,0,15,11,10,10,2017,"Saptari","Control",0,25,36,"WINTER 2073"
"T104201003","Summer",0,0,21,15,0,0,2017,"Saptari","Control",0,25,36,"SUMMER 2074"
"T104201003","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,25,36,"ANNUAL 2073-74"
"T109205004","Monsoon",60,0,0,0,60,60,2017,"Saptari","Treatment",1,130,60,"MONSOON 2073"
"T109205004","Winter",60,0,0,0,60,60,2017,"Saptari","Treatment",1,130,60,"WINTER 2073"
"T109205004","Summer",10,0,0,50,10,10,2017,"Saptari","Treatment",1,130,60,"SUMMER 2074"
"T109205004","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,130,60,"ANNUAL 2073-74"
"T109203003","Monsoon",21,0,0,0,21,21,2017,"Saptari","Control",0,42,21,"MONSOON 2073"
"T109203003","Winter",21,0,0,0,21,21,2017,"Saptari","Control",0,42,21,"WINTER 2073"
"T109203003","Summer",0,0,0,21,0,0,2017,"Saptari","Control",0,42,21,"SUMMER 2074"
"T109203003","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,42,21,"ANNUAL 2073-74"
"T109201006","Monsoon",3,20,0,0,23,23,2017,"Saptari","Control",0,54,3,"MONSOON 2073"
"T109201006","Winter",3,15,0,0,18,18,2017,"Saptari","Control",0,54,3,"WINTER 2073"
"T109201006","Summer",3,10,0,0,13,13,2017,"Saptari","Control",0,54,3,"SUMMER 2074"
"T109201006","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,54,3,"ANNUAL 2073-74"
"T210405002","Monsoon",45,0,0,0,45,45,2017,"Saptari","Control",0,105,45,"MONSOON 2073"
"T210405002","Winter",45,0,0,0,45,45,2017,"Saptari","Control",0,105,45,"WINTER 2073"
"T210405002","Summer",15,0,0,30,15,15,2017,"Saptari","Control",0,105,45,"SUMMER 2074"
"T210405002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,105,45,"ANNUAL 2073-74"
"T203908005","Monsoon",15,0,0,0,15,15,2017,"Saptari","Control",0,35,15,"MONSOON 2073"
"T203908005","Winter",10,0,0,5,10,10,2017,"Saptari","Control",0,35,15,"WINTER 2073"
"T203908005","Summer",10,0,0,5,10,10,2017,"Saptari","Control",0,35,15,"SUMMER 2074"
"T203908005","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,35,15,"ANNUAL 2073-74"
"T203900307","Monsoon",15,0,0,0,15,15,2017,"Saptari","Control",0,30,15,"MONSOON 2073"
"T203900307","Winter",15,0,0,0,15,15,2017,"Saptari","Control",0,30,15,"WINTER 2073"
"T203900307","Summer",0,0,0,15,0,0,2017,"Saptari","Control",0,30,15,"SUMMER 2074"
"T203900307","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,30,15,"ANNUAL 2073-74"
"T106604005","Monsoon",20,0,0,0,20,20,2017,"Saptari","Control",0,40,20,"MONSOON 2073"
"T106604005","Winter",20,0,0,0,20,20,2017,"Saptari","Control",0,40,20,"WINTER 2073"
"T106604005","Summer",0,0,0,20,0,0,2017,"Saptari","Control",0,40,20,"SUMMER 2074"
"T106604005","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,40,20,"ANNUAL 2073-74"
"T203901004","Monsoon",17,0,0,0,17,17,2017,"Saptari","Control",0,44,17,"MONSOON 2073"
"T203901004","Winter",17,0,0,0,17,17,2017,"Saptari","Control",0,44,17,"WINTER 2073"
"T203901004","Summer",10,0,0,7,10,10,2017,"Saptari","Control",0,44,17,"SUMMER 2074"
"T203901004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,44,17,"ANNUAL 2073-74"
"C001401004","Monsoon",16,0,0,0,16,16,2017,"Saptari","Control",0,42,16,"MONSOON 2073"
"C001401004","Winter",16,0,0,0,16,10,2017,"Saptari","Control",0,42,16,"WINTER 2073"
"C001401004","Summer",10,0,0,6,10,0,2017,"Saptari","Control",0,42,16,"SUMMER 2074"
"C001401004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,42,16,"ANNUAL 2073-74"
"T104203004","Monsoon",40,0,0,0,40,40,2017,"Saptari","Control",0,40,40,"MONSOON 2073"
"T104203004","Winter",0,0,0,40,0,0,2017,"Saptari","Control",0,40,40,"WINTER 2073"
"T104203004","Summer",0,0,0,40,0,0,2017,"Saptari","Control",0,40,40,"SUMMER 2074"
"T104203004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,40,40,"ANNUAL 2073-74"
"T110502003","Monsoon",9,0,0,0,9,9,2017,"Saptari","Control",0,25,9,"MONSOON 2073"
"T110502003","Winter",9,0,0,0,9,5,2017,"Saptari","Control",0,25,9,"WINTER 2073"
"T110502003","Summer",7,0,0,2,7,0,2017,"Saptari","Control",0,25,9,"SUMMER 2074"
"T110502003","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,25,9,"ANNUAL 2073-74"
"T210708002","Monsoon",60,0,0,0,60,60,2017,"Saptari","Treatment",1,135,60,"MONSOON 2073"
"T210708002","Winter",60,0,0,0,60,25,2017,"Saptari","Treatment",1,135,60,"WINTER 2073"
"T210708002","Summer",15,0,0,45,15,15,2017,"Saptari","Treatment",1,135,60,"SUMMER 2074"
"T210708002","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,135,60,"ANNUAL 2073-74"
"T203908001","Monsoon",25,0,0,5,25,25,2017,"Saptari","Treatment",1,60,30,"MONSOON 2073"
"T203908001","Winter",25,0,0,5,25,10,2017,"Saptari","Treatment",1,60,30,"WINTER 2073"
"T203908001","Summer",10,0,0,20,10,10,2017,"Saptari","Treatment",1,60,30,"SUMMER 2074"
"T203908001","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,60,30,"ANNUAL 2073-74"
"T203903003","Monsoon",30,0,0,0,30,30,2017,"Saptari","Control",0,80,30,"MONSOON 2073"
"T203903003","Winter",30,0,0,0,30,20,2017,"Saptari","Control",0,80,30,"WINTER 2073"
"T203903003","Summer",20,0,0,10,20,10,2017,"Saptari","Control",0,80,30,"SUMMER 2074"
"T203903003","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,80,30,"ANNUAL 2073-74"
"T206702001","Monsoon",80,0,0,0,80,80,2017,"Saptari","Control",0,140,80,"MONSOON 2073"
"T206702001","Winter",60,0,0,20,60,40,2017,"Saptari","Control",0,140,80,"WINTER 2073"
"T206702001","Summer",0,0,0,80,0,0,2017,"Saptari","Control",0,140,80,"SUMMER 2074"
"T206702001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,140,80,"ANNUAL 2073-74"
"T106604004","Monsoon",32,0,0,3,32,32,2017,"Saptari","Control",0,84,35,"MONSOON 2073"
"T106604004","Winter",32,0,0,3,32,25,2017,"Saptari","Control",0,84,35,"WINTER 2073"
"T106604004","Summer",20,0,0,15,20,10,2017,"Saptari","Control",0,84,35,"SUMMER 2074"
"T106604004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,84,35,"ANNUAL 2073-74"
"T109202010","Monsoon",20,0,0,0,20,20,2017,"Saptari","Control",0,50,20,"MONSOON 2073"
"T109202010","Winter",20,0,0,0,20,13,2017,"Saptari","Control",0,50,20,"WINTER 2073"
"T109202010","Summer",10,0,0,10,10,0,2017,"Saptari","Control",0,50,20,"SUMMER 2074"
"T109202010","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,50,20,"ANNUAL 2073-74"
"T109203001","Monsoon",36,0,0,0,36,36,2017,"Saptari","Treatment",1,85,36,"MONSOON 2073"
"T109203001","Winter",36,0,0,0,36,20,2017,"Saptari","Treatment",1,85,36,"WINTER 2073"
"T109203001","Summer",13,0,0,23,13,5,2017,"Saptari","Treatment",1,85,36,"SUMMER 2074"
"T109203001","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,85,36,"ANNUAL 2073-74"
"T109201007","Monsoon",25,0,0,0,25,25,2017,"Saptari","Control",0,45,25,"MONSOON 2073"
"T109201007","Winter",20,0,0,5,20,10,2017,"Saptari","Control",0,45,25,"WINTER 2073"
"T109201007","Summer",0,0,0,0,0,0,2017,"Saptari","Control",0,45,25,"SUMMER 2074"
"T109201007","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,45,25,"ANNUAL 2073-74"
"T210407004","Monsoon",30,0,0,15,30,30,2017,"Saptari","Control",0,60,45,"MONSOON 2073"
"T210407004","Winter",20,0,0,25,20,5,2017,"Saptari","Control",0,60,45,"WINTER 2073"
"T210407004","Summer",10,0,0,35,10,5,2017,"Saptari","Control",0,60,45,"SUMMER 2074"
"T210407004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,60,45,"ANNUAL 2073-74"
"C008109001","Monsoon",240,0,0,0,240,240,2017,"Saptari","Control",0,480,240,"MONSOON 2073"
"C008109001","Winter",240,0,0,0,240,161,2017,"Saptari","Control",0,480,240,"WINTER 2073"
"C008109001","Summer",0,0,0,0,0,0,2017,"Saptari","Control",0,480,240,"SUMMER 2074"
"C008109001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,480,240,"ANNUAL 2073-74"
"T110510001","Monsoon",40,0,0,0,40,40,2017,"Saptari","Control",0,40,40,"MONSOON 2073"
"T110510001","Winter",0,0,0,40,0,0,2017,"Saptari","Control",0,40,40,"WINTER 2073"
"T110510001","Summer",0,0,0,40,0,0,2017,"Saptari","Control",0,40,40,"SUMMER 2074"
"T110510001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,40,40,"ANNUAL 2073-74"
"T103207003","Monsoon",70,0,0,0,70,70,2017,"Saptari","Control",0,160,70,"MONSOON 2073"
"T103207003","Winter",70,0,0,0,70,30,2017,"Saptari","Control",0,160,70,"WINTER 2073"
"T103207003","Summer",20,0,0,50,20,0,2017,"Saptari","Control",0,160,70,"SUMMER 2074"
"T103207003","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,160,70,"ANNUAL 2073-74"
"T103204001","Monsoon",47,0,0,0,47,47,2017,"Saptari","Treatment",1,108,47,"MONSOON 2073"
"T103204001","Winter",47,0,0,0,47,17,2017,"Saptari","Treatment",1,108,47,"WINTER 2073"
"T103204001","Summer",14,0,0,33,14,0,2017,"Saptari","Treatment",1,108,47,"SUMMER 2074"
"T103204001","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,108,47,"ANNUAL 2073-74"
"T210701004","Monsoon",120,0,120,0,120,120,2017,"Saptari","Treatment",1,265,120,"MONSOON 2073"
"T210701004","Winter",120,0,120,0,120,45,2017,"Saptari","Treatment",1,265,120,"WINTER 2073"
"T210701004","Summer",25,0,120,95,25,25,2017,"Saptari","Treatment",1,265,120,"SUMMER 2074"
"T210701004","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,265,120,"ANNUAL 2073-74"
"T210701007","Monsoon",15,0,0,0,15,15,2017,"Saptari","Control",0,35,15,"MONSOON 2073"
"T210701007","Winter",15,0,0,0,15,7,2017,"Saptari","Control",0,35,15,"WINTER 2073"
"T210701007","Summer",5,0,0,10,5,5,2017,"Saptari","Control",0,35,15,"SUMMER 2074"
"T210701007","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,35,15,"ANNUAL 2073-74"
"T100502005","Monsoon",20,20,20,0,20,20,2017,"Saptari","Control",0,50,20,"MONSOON 2073"
"T100502005","Winter",20,20,0,0,20,20,2017,"Saptari","Control",0,50,20,"WINTER 2073"
"T100502005","Summer",10,0,0,10,10,10,2017,"Saptari","Control",0,50,20,"SUMMER 2074"
"T100502005","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,50,20,"ANNUAL 2073-74"
"T200103002","Monsoon",30,0,0,0,30,30,2017,"Saptari","Treatment",1,90,30,"MONSOON 2073"
"T200103002","Winter",30,0,0,0,30,30,2017,"Saptari","Treatment",1,90,30,"WINTER 2073"
"T200103002","Summer",30,0,0,0,30,30,2017,"Saptari","Treatment",1,90,30,"SUMMER 2074"
"T200103002","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,90,30,"ANNUAL 2073-74"
"T107607004","Monsoon",25,0,20,0,25,25,2017,"Saptari","Control",0,55,45,"MONSOON 2073"
"T107607004","Winter",25,0,20,0,25,25,2017,"Saptari","Control",0,55,45,"WINTER 2073"
"T107607004","Summer",5,0,40,0,5,5,2017,"Saptari","Control",0,55,45,"SUMMER 2074"
"T107607004","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,55,45,"ANNUAL 2073-74"
"T108803001","Monsoon",45,0,0,0,45,45,2017,"Saptari","Control",0,75,45,"MONSOON 2073"
"T108803001","Winter",20,0,0,25,20,20,2017,"Saptari","Control",0,75,45,"WINTER 2073"
"T108803001","Summer",10,0,0,35,10,10,2017,"Saptari","Control",0,75,45,"SUMMER 2074"
"T108803001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,75,45,"ANNUAL 2073-74"
"T108804002","Monsoon",30,0,30,0,30,30,2017,"Saptari","Control",0,70,60,"MONSOON 2073"
"T108804002","Winter",30,0,30,0,30,20,2017,"Saptari","Control",0,70,60,"WINTER 2073"
"T108804002","Summer",10,0,0,50,10,10,2017,"Saptari","Control",0,70,60,"SUMMER 2074"
"T108804002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,70,60,"ANNUAL 2073-74"
"T203309001","Monsoon",80,0,120,0,80,80,2017,"Saptari","Control",0,165,200,"MONSOON 2073"
"T203309001","Winter",80,0,120,0,80,80,2017,"Saptari","Control",0,165,200,"WINTER 2073"
"T203309001","Summer",5,0,55,140,5,5,2017,"Saptari","Control",0,165,200,"SUMMER 2074"
"T203309001","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,165,200,"ANNUAL 2073-74"
"T203308002","Monsoon",60,0,0,0,60,60,2017,"Saptari","Control",0,85,60,"MONSOON 2073"
"T203308002","Winter",15,0,0,45,15,15,2017,"Saptari","Control",0,85,60,"WINTER 2073"
"T203308002","Summer",10,0,0,50,10,10,2017,"Saptari","Control",0,85,60,"SUMMER 2074"
"T203308002","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,85,60,"ANNUAL 2073-74"
"T100503002","Monsoon",20,0,50,0,20,20,2017,"Saptari","Treatment",1,42,70,"MONSOON 2073"
"T100503002","Winter",20,0,50,0,20,20,2017,"Saptari","Treatment",1,42,70,"WINTER 2073"
"T100503002","Summer",2,0,68,0,2,2,2017,"Saptari","Treatment",1,42,70,"SUMMER 2074"
"T100503002","Annual",0,0,0,0,0,0,2017,"Saptari","Treatment",1,42,70,"ANNUAL 2073-74"
"T100501007","Monsoon",20,0,0,0,20,20,2017,"Saptari","Control",0,60,20,"MONSOON 2073"
"T100501007","Winter",20,0,0,0,20,20,2017,"Saptari","Control",0,60,20,"WINTER 2073"
"T100501007","Summer",20,0,0,0,20,20,2017,"Saptari","Control",0,60,20,"SUMMER 2074"
"T100501007","Annual",0,0,0,0,0,0,2017,"Saptari","Control",0,60,20,"ANNUAL 2073-74"
